run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,0,0,0,2,resnet32,resnet32,0.561198,0.561198,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,0,0,1,7,resnet32,resnet32,0.600940,0.600940,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,0,0,3,5,resnet32,resnet32,0.961199,0.961199,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,0,0,4,6,resnet32,resnet32,0.737202,0.737202,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,1,0,0,7,resnet32,resnet32,0.923934,0.923934,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,1,0,1,5,resnet32,resnet32,0.687053,0.687053,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,1,0,2,6,resnet32,resnet32,0.464606,0.464606,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,1,0,3,4,resnet32,resnet32,0.862221,0.862221,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,2,0,0,3,resnet32,resnet32,0.802171,0.802171,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,2,0,1,7,resnet32,resnet32,0.591750,0.591750,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,2,0,2,5,resnet32,resnet32,0.714675,0.714675,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,2,0,4,6,resnet32,resnet32,0.682885,0.682885,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,3,0,0,7,resnet32,resnet32,0.760421,0.760421,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,3,0,1,6,resnet32,resnet32,0.696880,0.696880,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,3,0,2,4,resnet32,resnet32,0.737489,0.737489,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,3,0,3,5,resnet32,resnet32,0.785572,0.785572,random,exact,1
resnet32x8_cifar100_K8_rand1_seed0002_d001,d001,4,0,0,1,resnet32,resnet32,0.749292,0.749292,random,exact,1
