run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,1,0,0,1,resnet32,resnet32,0.406600,0.406600,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,1,0,2,4,resnet32,resnet32,0.832200,0.832200,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,1,0,3,7,resnet32,resnet32,0.262400,0.262400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,1,0,5,6,resnet32,resnet32,0.390400,0.390400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,2,0,0,1,resnet32,resnet32,0.815400,0.815400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,2,0,2,3,resnet32,resnet32,0.817600,0.817600,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,2,0,4,5,resnet32,resnet32,0.869000,0.869000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,2,0,6,7,resnet32,resnet32,0.870400,0.870400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,3,0,0,6,resnet32,resnet32,0.680800,0.680800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,3,0,1,4,resnet32,resnet32,0.668200,0.668200,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,3,0,2,5,resnet32,resnet32,0.613800,0.613800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,3,0,3,7,resnet32,resnet32,0.743800,0.743800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,4,0,0,1,resnet32,resnet32,0.649000,0.649000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,4,0,2,4,resnet32,resnet32,0.599400,0.599400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,4,0,3,5,resnet32,resnet32,0.591200,0.591200,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,4,0,6,7,resnet32,resnet32,0.579200,0.579200,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,5,0,0,5,resnet32,resnet32,0.622800,0.622800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,5,0,1,7,resnet32,resnet32,0.648000,0.648000,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,5,0,2,3,resnet32,resnet32,0.534800,0.534800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,5,0,4,6,resnet32,resnet32,0.559400,0.559400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,6,0,0,3,resnet32,resnet32,0.669400,0.669400,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,6,0,1,6,resnet32,resnet32,0.594800,0.594800,disagreement,exact,1
resnet32x8_cifar100_K8_mwmd1_noise40_seed0004_d001,d001,6,0,2,5,resnet32,resnet32,0.701200,0.701200,disagreement,exact,1
