run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,0,0.1,7,147.28,0.1242625,0.04687861819369253,0.0602,0.18,0.1807,0.0564375,0.1239,0.1788,0.7197714285714286,0.3853575766764698,0.7213464285714286,0.37786445684879405,0.07864999999999998,0.169875,wrn28x10,0.18,0.174,3.902857124128125,3.6793171035295185,0.22354002015411176,wrn28x10,0.1766,0.1774,3.9131061922420156,3.6902774054218423,0.22282878692600538,wrn28x10,0.1674,0.1644,3.8970249400220136,3.6698781712488695,0.22714677000079642,wrn28x10,0.1555,0.1526,3.90025575526736,3.6741482608697633,0.22610749782655726,resnet32,0.0762,0.0768,4.602650141512806,4.332660733637485,0.26998940186405723,resnet32,0.0867,0.0948,4.507889240641486,4.256126851182092,0.2517623915125362,resnet32,0.0915,0.089,4.532380878586661,4.282233649695462,0.25014722239310766,resnet32,0.0602,0.0622,4.782363338226622,4.444903232834556,0.33746010378341784,31500000.0,0.0,126000000.0,126000000.0,1008000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,1,0.1,7,145.86,0.183,0.038164577817657044,0.1238,0.2403,0.2337,0.050699999999999995,0.183975,0.2374,0.6690071428571428,0.4716154857604046,0.6675071428571426,0.4794690514974312,0.1497,0.2163,wrn28x10,0.2052,0.2044,3.1893943565135654,2.9636582379991356,0.2257361165671186,wrn28x10,0.2183,0.2216,3.1926721815358508,2.9681686704809014,0.2245035116052763,wrn28x10,0.2403,0.2404,3.1779437705197116,2.9485629803755065,0.2293807850007645,wrn28x10,0.2014,0.2014,3.180375124243173,2.9532093676653774,0.22716575863093816,resnet32,0.1341,0.1328,3.8453658897091043,3.5928406745872716,0.25252521385184745,resnet32,0.1768,0.1812,3.7757403566078707,3.53478968617591,0.24095067428424954,resnet32,0.1641,0.161,3.806799154728651,3.5624009756879373,0.24439817228862507,resnet32,0.1238,0.129,4.0411613424393265,3.730634127489545,0.31052720796486194,31500000.0,0.0,126000000.0,252000000.0,2016000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,2,0.1,7,145.98,0.2026125,0.028564595109155665,0.1655,0.2464,0.2503,0.04768750000000002,0.200675,0.2458,0.6719142857142856,0.5042636136554544,0.6786035714285715,0.4915187950667419,0.18485000000000001,0.220375,wrn28x10,0.2464,0.2416,2.7973444026640872,2.582596880468455,0.21474752217446538,wrn28x10,0.1974,0.1984,2.7947691126980563,2.5802670063620265,0.21450210637836295,wrn28x10,0.2345,0.229,2.7881712554530664,2.570181125944311,0.21799012658778916,wrn28x10,0.2032,0.2018,2.7894790890541943,2.572062183848836,0.21741690395653926,resnet32,0.2259,0.2212,3.3307803388346326,3.063067566942085,0.2677127721888775,resnet32,0.1761,0.1748,3.2298792156983507,2.9830633432350377,0.24681587430479174,resnet32,0.1655,0.165,3.2427215958860787,2.996571875092658,0.24614972523836928,resnet32,0.1719,0.1736,3.4781060601499947,3.1711210452697496,0.3069850117052821,31500000.0,0.0,126000000.0,378000000.0,3024000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,3,0.1,7,142.7,0.26602499999999996,0.01663217890115423,0.2368,0.2939,0.3166,0.05057500000000004,0.264,0.3112,0.5835214285714285,0.529502565554673,0.5881607142857144,0.5267128467813189,0.26034999999999997,0.2717,wrn28x10,0.2496,0.2472,2.5547690467739645,2.3338119497692045,0.22095709207298403,wrn28x10,0.2756,0.2772,2.551460027694702,2.3305669989098203,0.22089302766306157,wrn28x10,0.2677,0.267,2.541221462190151,2.317970897663723,0.22325056077997116,wrn28x10,0.2939,0.2958,2.543511029671539,2.321232243187048,0.2222787933000787,resnet32,0.2749,0.2626,3.0013496208597314,2.7192871550267395,0.28206246900795534,resnet32,0.2566,0.2624,2.905497306111184,2.647477407685735,0.2580198955044828,resnet32,0.2731,0.2644,2.917302803559737,2.658542413603176,0.2587603864429349,resnet32,0.2368,0.2354,3.1046873182058334,2.7972946624186905,0.3073926560623063,31500000.0,0.0,126000000.0,504000000.0,4032000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,4,0.1,7,145.72,0.29535,0.018711761007451973,0.262,0.324,0.3391,0.04375000000000001,0.290975,0.3338,0.5417071428571428,0.5376108031909534,0.5459571428571428,0.5455107053904364,0.289875,0.300825,wrn28x10,0.2862,0.2788,2.390743287449533,2.158584002066742,0.23215928794392807,wrn28x10,0.2954,0.294,2.390371297062798,2.1573921846733852,0.23297911285507408,wrn28x10,0.324,0.3184,2.376358263702555,2.142425587062131,0.23393267615359614,wrn28x10,0.2977,0.3004,2.3866575961424545,2.153816820037636,0.2328407768879763,resnet32,0.3178,0.3156,2.78444277766076,2.492833459749818,0.29160931530747225,resnet32,0.2795,0.2764,2.703843390738422,2.4326588284562933,0.27118456190113316,resnet32,0.3002,0.2902,2.714511236345226,2.4398751221597195,0.27463611492633144,resnet32,0.262,0.254,2.8775669729167763,2.5616600821641358,0.31590688821267,31500000.0,0.0,126000000.0,630000000.0,5040000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,5,0.1,7,143.8,0.3769,0.021786922683114288,0.337,0.4152,0.4374,0.0605,0.38005,0.4374,0.5014500000000001,0.573619931718628,0.5142178571428572,0.5715359918578018,0.3791,0.37470000000000003,wrn28x10,0.3852,0.391,2.2774579143998297,2.035843649879098,0.24161426280625165,wrn28x10,0.3844,0.3852,2.2758412554182788,2.0341958903114903,0.24164536489512434,wrn28x10,0.3533,0.3594,2.272846302694895,2.030790628188036,0.2420556758826768,wrn28x10,0.3759,0.3934,2.2733213891359894,2.03113571876152,0.2421856693161482,resnet32,0.3829,0.3808,2.626171226189895,2.3310311924327505,0.29514003257182514,resnet32,0.4152,0.4166,2.5615083653141153,2.2803663557226006,0.28114200772886927,resnet32,0.3813,0.3748,2.581848270175132,2.297169733623212,0.2846785368482498,resnet32,0.337,0.3392,2.7121337950229645,2.394611321389675,0.31752247721041466,31500000.0,0.0,126000000.0,756000000.0,6048000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,6,0.1,7,145.56,0.3837,0.03256685431539251,0.3281,0.4229,0.4594,0.07569999999999999,0.383725,0.4618,0.5385214285714286,0.5312211075907508,0.5422821428571429,0.5432932517434093,0.37115,0.39625,wrn28x10,0.4169,0.4156,2.197103078053756,1.9469394455240532,0.2501636312385513,wrn28x10,0.4229,0.4218,2.20034143244001,1.9502293269403956,0.2501121044201268,wrn28x10,0.4171,0.4162,2.1869397942315447,1.9370623308826576,0.2498774645977061,wrn28x10,0.3281,0.3338,2.193286930634217,1.943249822170897,0.2500371079976586,resnet32,0.3471,0.3428,2.531610108234666,2.2300881040705876,0.30152200579389254,resnet32,0.3675,0.3706,2.4683104336939077,2.179689522493969,0.28862091348591173,resnet32,0.3891,0.3888,2.489812421697107,2.198875767263499,0.2909366510681469,resnet32,0.3809,0.3802,2.603704647584395,2.2833274409852247,0.3203772099011324,31500000.0,0.0,126000000.0,882000000.0,7056000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,7,0.1,7,145.68,0.37991250000000004,0.018252769481643057,0.3607,0.4166,0.4404,0.06048749999999997,0.3721,0.4292,0.5111357142857142,0.5637001314470096,0.5083928571428572,0.570290455192482,0.36797500000000005,0.39185000000000003,wrn28x10,0.3926,0.3866,2.122720254754478,1.864513497799635,0.25820675636218354,wrn28x10,0.4166,0.4062,2.1251549780030143,1.8679256337610157,0.25722934320484375,wrn28x10,0.3931,0.388,2.1205171151933344,1.8606196777387098,0.25989743872460996,wrn28x10,0.3651,0.3546,2.125705525617708,1.8660686061802236,0.25963692083446815,resnet32,0.3721,0.3646,2.4577306652949615,2.1464701169593767,0.3112605490552431,resnet32,0.3607,0.3464,2.4078086192973633,2.1072721581228753,0.30053646316413174,resnet32,0.3773,0.372,2.411207342520356,2.109928321093321,0.3012790221890265,resnet32,0.3618,0.3584,2.521495896476236,2.196069849147038,0.32542605154131626,31500000.0,0.0,126000000.0,1008000000.0,8064000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,8,0.1,7,145.54,0.396525,0.02200805250357242,0.3646,0.4369,0.4629,0.06637499999999996,0.395275,0.4668,0.5173857142857142,0.5506507760315761,0.5190392857142856,0.5601514963321105,0.38170000000000004,0.41135,wrn28x10,0.4369,0.438,2.07803043553775,1.8119694255292416,0.26606101026250556,wrn28x10,0.417,0.4176,2.0729172023182567,1.8081724150952967,0.26474479035559023,wrn28x10,0.4053,0.4046,2.0687479845840824,1.8038444832306018,0.264903500019996,wrn28x10,0.3862,0.3812,2.077893364327875,1.8136889170855284,0.26420444694601675,resnet32,0.3717,0.3718,2.400111348452893,2.083601298318668,0.3165100518487055,resnet32,0.3646,0.3658,2.360146233134649,2.0545226144181057,0.3056236183778806,resnet32,0.394,0.3954,2.3557213250208986,2.0505528197708456,0.30516850406473334,resnet32,0.3965,0.3878,2.4604642301459205,2.1320342623036015,0.32842996568334376,31500000.0,0.0,126000000.0,1134000000.0,9072000000.0
wrn28x10x4-resnet32x4_cifar100_K8_dml_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,9,0.1,7,144.32,0.3583,0.026903577828980292,0.3148,0.4061,0.4297,0.07140000000000002,0.35814999999999997,0.4318,0.5679285714285713,0.5136558348014366,0.5617071428571428,0.5202275435287047,0.35140000000000005,0.3652,wrn28x10,0.3148,0.3098,2.036624603312124,1.7648246816613458,0.27179992687888443,wrn28x10,0.4061,0.4178,2.0459779358722945,1.7750694118440151,0.27090852449394087,wrn28x10,0.3683,0.367,2.036007047546181,1.7656398385085843,0.27036721409637143,wrn28x10,0.3716,0.374,2.0388396097855135,1.7671171020377765,0.27172251020304183,resnet32,0.376,0.3744,2.3607315835966305,2.0399620651521464,0.32076951740732923,resnet32,0.3516,0.3458,2.323027918453921,2.009710206565532,0.31331771083006804,resnet32,0.3282,0.3278,2.323246072469787,2.0113645190881058,0.31188155856745486,resnet32,0.3498,0.3486,2.4132267356934873,2.0783098832788793,0.3349168531765992,31500000.0,0.0,126000000.0,1260000000.0,10080000000.0
