run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,1,70.75,0.035725,0.013462331707397496,0.01,0.0544,0.0546,0.018875000000000003,0.035075,0.0558,0.7473142857142856,0.3030832748738895,0.7440714285714286,0.3137583631086484,0.035725,resnet32,0.0377,0.035,4.570593169467016,4.479727334596894,0.09086584193805307,resnet32,0.0353,0.0344,4.636396950618788,4.529131717302582,0.10726522422258065,resnet32,0.01,0.011,4.749176706780087,4.650370003824884,0.09880670331453571,resnet32,0.0467,0.0454,4.553349946371534,4.460486300628293,0.09286364560069739,resnet32,0.0308,0.0328,4.674087516963482,4.583931101994081,0.09015642510216408,resnet32,0.0475,0.043,4.625614017248154,4.514338620007038,0.11127539426954834,resnet32,0.0234,0.0256,4.686354205689647,4.622229814529419,0.06412439280988606,resnet32,0.0544,0.0534,4.5891111838546665,4.491537894714963,0.09757328537869564,4500000.0,0.0,18000000.0,18000000.0,144000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,1,68.41,0.1007125,0.02554786867333555,0.0539,0.1281,0.1242,0.02348750000000001,0.102875,0.1242,0.6648071428571427,0.5016972230007923,0.6626214285714287,0.49025887637706234,0.1007125,resnet32,0.1281,0.1314,4.010959279469469,3.9313608665357935,0.07959841284371744,resnet32,0.0912,0.0954,4.144682691178539,4.079239368438721,0.06544332141162489,resnet32,0.0539,0.0588,4.526022526350888,4.442664764482867,0.08335775841789489,resnet32,0.1245,0.128,3.960691360248761,3.8873729414560576,0.0733184203854762,resnet32,0.0814,0.083,4.304065200754187,4.223806094378233,0.08025911028380506,resnet32,0.1157,0.1096,4.038945186883211,3.9599315801804718,0.07901361298916693,resnet32,0.0833,0.0872,4.2287019088187,4.163914579898119,0.06478733527579937,resnet32,0.1276,0.1296,3.926906993104653,3.853574978018349,0.07333201776385646,4500000.0,0.0,18000000.0,36000000.0,288000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,1,69.32,0.163425,0.01666333925118252,0.1379,0.1964,0.1877,0.02427500000000002,0.1615,0.1812,0.5765285714285715,0.5706680959283752,0.5883357142857143,0.5428028200349395,0.163425,resnet32,0.1661,0.1642,3.5767797892066566,3.484055920080705,0.09272386753846976,resnet32,0.1527,0.1464,3.6934766955673695,3.618806342170997,0.0746703519993885,resnet32,0.1563,0.1582,3.8606511503458023,3.7398478957739743,0.12080325284676457,resnet32,0.1525,0.1542,3.5657898749817503,3.47242567722093,0.093364202353934,resnet32,0.1756,0.1712,3.6906555975702675,3.592530541799285,0.09812504978088493,resnet32,0.1699,0.1702,3.6277447193861008,3.5284625891257417,0.0992821316361766,resnet32,0.1379,0.136,3.6848940812051296,3.609998681328513,0.07489539967553521,resnet32,0.1964,0.1916,3.636020363731818,3.5124523135071453,0.12356804782228376,4500000.0,0.0,18000000.0,54000000.0,432000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,1,69.07,0.21932500000000002,0.007627376678780196,0.2051,0.2305,0.2515,0.03217499999999998,0.21925,0.2488,0.5610285714285714,0.5760205040603382,0.5624357142857143,0.5843474757187058,0.21932500000000002,resnet32,0.2202,0.2296,3.2846653657880696,3.148062205788764,0.13660316106820988,resnet32,0.2051,0.213,3.330688714303754,3.201942965726961,0.1287457505029372,resnet32,0.2189,0.2232,3.374306105754592,3.2467511875385586,0.12755491623697293,resnet32,0.2099,0.202,3.269541108472781,3.139889727939259,0.12965138238558377,resnet32,0.2237,0.2198,3.305358958176591,3.179471489719369,0.1258874705844474,resnet32,0.2305,0.2308,3.3365050483156335,3.2089014788242904,0.12760357390454208,resnet32,0.2232,0.211,3.3304343941536816,3.194136346605691,0.13629805160136046,resnet32,0.2231,0.2246,3.254778464748101,3.1279466409574854,0.12683182350486855,4500000.0,0.0,18000000.0,72000000.0,576000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,1,69.17,0.24519999999999997,0.015510319145652679,0.2227,0.2676,0.2779,0.03270000000000001,0.24095,0.2688,0.5544714285714287,0.5992139285079127,0.5572750000000001,0.5898590709955946,0.24519999999999997,resnet32,0.2227,0.2266,3.028737910091877,2.8802509229968893,0.1484869863964956,resnet32,0.2641,0.257,3.0497201295061545,2.917372203347358,0.13234792450781574,resnet32,0.2676,0.2586,3.0751292272047563,2.9158390262587504,0.159290199697187,resnet32,0.2386,0.232,3.0246090086346324,2.8761922273446214,0.14841677992477675,resnet32,0.2544,0.2488,3.0317807123064995,2.872119901193814,0.1596608086891303,resnet32,0.2499,0.2386,3.07335670969703,2.9146687581457873,0.15868795190048826,resnet32,0.2263,0.2212,3.0645106668499382,2.932325614785606,0.13218505602245303,resnet32,0.238,0.2448,3.006750709969889,2.8465846106410027,0.16016609320120717,4500000.0,0.0,18000000.0,90000000.0,720000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,1,69.76,0.27761250000000004,0.014121387812463757,0.2538,0.3014,0.3128,0.03518749999999998,0.272725,0.2972,0.509407142857143,0.6078506816575626,0.5160892857142858,0.6134185271733396,0.27761250000000004,resnet32,0.2755,0.2784,2.8611202626065775,2.6784862120720474,0.18263404807922515,resnet32,0.3014,0.2946,2.893402860245921,2.7153255705806343,0.17807728657498956,resnet32,0.2538,0.254,2.8828942670740862,2.704345026138154,0.1785492429361594,resnet32,0.2843,0.2774,2.878231909464706,2.70409857718782,0.17413332863626155,resnet32,0.2603,0.2582,2.8346348994157533,2.6516291116448967,0.1830057920464738,resnet32,0.2756,0.2678,2.879530833864754,2.699886705726385,0.179644127947871,resnet32,0.2846,0.2736,2.906667298214002,2.732972266660495,0.17369503155350685,resnet32,0.2854,0.2778,2.8234585279768165,2.6424918059598315,0.1809667177519507,4500000.0,0.0,18000000.0,108000000.0,864000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,1,69.22,0.29535,0.01786574935456109,0.2627,0.3303,0.3311,0.035750000000000004,0.29064999999999996,0.3252,0.5081285714285715,0.6103896983198307,0.507882142857143,0.6164226550388948,0.29535,resnet32,0.2844,0.282,2.7409030693498524,2.539487261325121,0.20141581187702037,resnet32,0.2925,0.2954,2.7461123165081847,2.5449832930144938,0.2011290222237056,resnet32,0.2981,0.2918,2.7512365315448153,2.550312717868523,0.20092381416311997,resnet32,0.3303,0.319,2.746579932218248,2.56172708963806,0.184852843511511,resnet32,0.3039,0.3002,2.714045466685837,2.511957582255656,0.20208788555200127,resnet32,0.2627,0.2602,2.744456985118714,2.549538917670196,0.19491806702519004,resnet32,0.3008,0.2868,2.7627254944633353,2.5782127249985933,0.1845127695917406,resnet32,0.2901,0.2898,2.6945348365063015,2.4978645736859604,0.19667026650329883,4500000.0,0.0,18000000.0,126000000.0,1008000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,1,69.47,0.32162500000000005,0.025040704363096498,0.2709,0.3483,0.3666,0.04497499999999993,0.32155,0.3684,0.5165714285714286,0.5804470141747707,0.5193321428571428,0.5801517545886267,0.32162500000000005,resnet32,0.3251,0.3284,2.645901996134357,2.421881902962923,0.2240200937640938,resnet32,0.3109,0.3202,2.637662648308006,2.431226585907015,0.20643606216816063,resnet32,0.3372,0.3402,2.672902851619504,2.4526350389827383,0.2202678140972487,resnet32,0.3339,0.3288,2.6472116238014265,2.441122393885797,0.20608923107978294,resnet32,0.2988,0.2936,2.6297590869732876,2.4048357240178366,0.224923364458267,resnet32,0.3483,0.34,2.662906622175466,2.4386422732336954,0.2242643502117558,resnet32,0.2709,0.2684,2.6894808604635974,2.469529837031256,0.2199510203843767,resnet32,0.3479,0.3528,2.6116440438411455,2.385945515707135,0.22569853097031062,4500000.0,0.0,18000000.0,144000000.0,1152000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,1,69.12,0.30405000000000004,0.026595817340326268,0.2503,0.3392,0.3517,0.04764999999999997,0.300275,0.35,0.5398499999999999,0.5604918472112669,0.5397642857142857,0.5718429103978926,0.30405000000000004,resnet32,0.3156,0.3088,2.5695290108296005,2.3409950846636836,0.2285339262505824,resnet32,0.3092,0.3066,2.5561421554196966,2.3392665411599656,0.21687561133876443,resnet32,0.2503,0.2474,2.5790063728663055,2.351002571765672,0.22800379754467445,resnet32,0.3253,0.3262,2.5675520920618013,2.3511515173383732,0.21640057463876225,resnet32,0.317,0.3162,2.5408341026102956,2.3113439858637075,0.2294901123651388,resnet32,0.2987,0.2902,2.604308218441226,2.37180545062504,0.23250276821834798,resnet32,0.3392,0.3264,2.6131213940680027,2.380905030464584,0.23221636123277925,resnet32,0.2771,0.2804,2.5244117741557686,2.294106675650586,0.2303051014684818,4500000.0,0.0,18000000.0,162000000.0,1296000000.0
resnet32x8_cifar100_K8_rand1_seed0004_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,1,69.5,0.365,0.01610310529059535,0.3448,0.3926,0.4129,0.0479,0.354275,0.4026,0.49491428571428564,0.585157386022472,0.4929607142857142,0.5852889767676529,0.365,resnet32,0.3907,0.3776,2.495526449077509,2.258294424211437,0.2372320281045342,resnet32,0.3596,0.3448,2.4921945091336966,2.254811351780187,0.2373831528027288,resnet32,0.3561,0.34,2.5274180832572957,2.287620121613145,0.23979795654304326,resnet32,0.3557,0.3438,2.508324235000394,2.2624220038679512,0.24590223039161752,resnet32,0.3448,0.3362,2.4916966332292017,2.2425590635023336,0.24913757256316868,resnet32,0.3588,0.35,2.541643059050495,2.295265842737122,0.24637722048315813,resnet32,0.3617,0.3584,2.537516292523254,2.298429731956937,0.23908656369894743,resnet32,0.3926,0.3834,2.4636110610921276,2.215774215927178,0.24783684700642797,4500000.0,0.0,18000000.0,180000000.0,1440000000.0
