run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,0,0,0,2,wrn28x10,wrn28x10,0.561198,0.561198,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,0,0,1,7,wrn28x10,resnet32,0.600940,0.600940,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,0,0,3,5,wrn28x10,resnet32,0.961199,0.961199,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,0,0,4,6,resnet32,resnet32,0.737202,0.737202,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,1,0,0,7,wrn28x10,resnet32,0.923934,0.923934,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,1,0,1,5,wrn28x10,resnet32,0.687053,0.687053,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,1,0,2,6,wrn28x10,resnet32,0.464606,0.464606,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,1,0,3,4,wrn28x10,resnet32,0.862221,0.862221,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,2,0,0,3,wrn28x10,wrn28x10,0.802171,0.802171,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,2,0,1,7,wrn28x10,resnet32,0.591750,0.591750,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,2,0,2,5,wrn28x10,resnet32,0.714675,0.714675,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,2,0,4,6,resnet32,resnet32,0.682885,0.682885,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,3,0,0,7,wrn28x10,resnet32,0.760421,0.760421,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,3,0,1,6,wrn28x10,resnet32,0.696880,0.696880,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,3,0,2,4,wrn28x10,resnet32,0.737489,0.737489,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,3,0,3,5,wrn28x10,resnet32,0.785572,0.785572,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,4,0,0,1,wrn28x10,wrn28x10,0.749292,0.749292,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,4,0,2,7,wrn28x10,resnet32,0.508849,0.508849,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,4,0,3,4,wrn28x10,resnet32,0.506540,0.506540,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,4,0,5,6,resnet32,resnet32,0.582582,0.582582,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,5,0,0,1,wrn28x10,wrn28x10,0.771849,0.771849,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,5,0,2,6,wrn28x10,resnet32,0.510473,0.510473,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,5,0,3,4,wrn28x10,resnet32,0.906461,0.906461,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,5,0,5,7,resnet32,resnet32,0.462570,0.462570,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,6,0,0,4,wrn28x10,resnet32,0.689403,0.689403,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,6,0,1,7,wrn28x10,resnet32,0.891273,0.891273,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,6,0,2,5,wrn28x10,resnet32,0.829454,0.829454,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,6,0,3,6,wrn28x10,resnet32,0.641497,0.641497,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,7,0,0,1,wrn28x10,wrn28x10,0.792185,0.792185,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,7,0,2,5,wrn28x10,resnet32,0.806697,0.806697,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,7,0,3,4,wrn28x10,resnet32,0.800557,0.800557,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,7,0,6,7,resnet32,resnet32,0.808749,0.808749,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,8,0,0,7,wrn28x10,resnet32,0.585715,0.585715,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,8,0,1,3,wrn28x10,wrn28x10,0.534507,0.534507,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,8,0,2,6,wrn28x10,resnet32,0.575963,0.575963,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,8,0,4,5,resnet32,resnet32,0.680976,0.680976,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,9,0,0,6,wrn28x10,resnet32,0.893583,0.893583,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,9,0,1,2,wrn28x10,wrn28x10,0.725805,0.725805,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,9,0,3,5,wrn28x10,resnet32,0.895052,0.895052,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,9,0,4,7,resnet32,resnet32,0.838971,0.838971,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,10,0,0,5,wrn28x10,resnet32,0.730771,0.730771,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,10,0,1,7,wrn28x10,resnet32,0.866707,0.866707,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,10,0,2,6,wrn28x10,resnet32,0.764535,0.764535,random,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,10,0,3,4,wrn28x10,resnet32,0.699208,0.699208,random,exact,1
