run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,0,68.85,0.1025875,0.023101214118526326,0.0677,0.1307,0.1257,0.023112500000000008,0.100275,0.122,0.6691214285714288,0.46887863769784716,0.6700071428571428,0.44903102786913374,0.1025875,resnet32,0.0936,0.0924,4.176578050648624,4.176578050648624,0.0,resnet32,0.1307,0.1268,3.9738477888432415,3.9738477888432415,0.0,resnet32,0.0827,0.084,4.272498910061338,4.272498910061338,0.0,resnet32,0.0677,0.0668,4.338091929866509,4.338091929866509,0.0,resnet32,0.0791,0.0732,4.327958805317229,4.327958805317229,0.0,resnet32,0.129,0.1246,4.02644586393779,4.02644586393779,0.0,resnet32,0.1183,0.1128,3.9211750988933174,3.9211750988933174,0.0,resnet32,0.1196,0.1216,3.972026029432362,3.972026029432362,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,0,67.62,0.196875,0.026281112514503647,0.1555,0.2328,0.2425,0.045625,0.189475,0.237,0.6228142857142859,0.5116375934275664,0.6201928571428571,0.5389520259019062,0.196875,resnet32,0.1942,0.1858,3.4914474765008148,3.4914474765008148,0.0,resnet32,0.2267,0.2234,3.3087252486835825,3.3087252486835825,0.0,resnet32,0.1747,0.1602,3.569490597668019,3.569490597668019,0.0,resnet32,0.1747,0.1578,3.6281921443614094,3.6281921443614094,0.0,resnet32,0.1555,0.1444,3.6163387061520056,3.6163387061520056,0.0,resnet32,0.2221,0.2178,3.3768742087889803,3.3768742087889803,0.0,resnet32,0.2328,0.229,3.27791735699231,3.27791735699231,0.0,resnet32,0.1943,0.1974,3.3286379430104387,3.3286379430104387,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,0,67.38,0.21625,0.028176231117734683,0.1748,0.2634,0.2678,0.051549999999999985,0.213275,0.262,0.6513857142857142,0.4788207337061629,0.6520321428571428,0.4785706026933834,0.21625,resnet32,0.2,0.1932,3.0422482524405825,3.0422482524405825,0.0,resnet32,0.2373,0.2382,2.915091344240037,2.915091344240037,0.0,resnet32,0.1748,0.17,3.060740699144927,3.060740699144927,0.0,resnet32,0.18,0.1714,3.1635460985655133,3.1635460985655133,0.0,resnet32,0.2199,0.2184,3.1588166623630305,3.1588166623630305,0.0,resnet32,0.2192,0.2198,2.9920688793063164,2.9920688793063164,0.0,resnet32,0.2634,0.2608,2.875381538475102,2.875381538475102,0.0,resnet32,0.2354,0.2344,2.91232908483256,2.91232908483256,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,0,67.07,0.23454999999999998,0.017976373382860074,0.206,0.264,0.2762,0.04165000000000002,0.23497500000000002,0.2758,0.5962714285714286,0.546601220742437,0.5970035714285714,0.5556767403958852,0.23454999999999998,resnet32,0.2212,0.22,2.734173085879196,2.734173085879196,0.0,resnet32,0.2454,0.2424,2.650288850915703,2.650288850915703,0.0,resnet32,0.2541,0.2536,2.7330922938205977,2.7330922938205977,0.0,resnet32,0.2259,0.233,2.824410316619006,2.824410316619006,0.0,resnet32,0.206,0.2026,2.8652368387715383,2.8652368387715383,0.0,resnet32,0.2372,0.2398,2.735815586691553,2.735815586691553,0.0,resnet32,0.264,0.2604,2.628324703059413,2.628324703059413,0.0,resnet32,0.2226,0.228,2.6378056996247987,2.6378056996247987,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,0,67.2,0.3056875,0.0288302114759847,0.2664,0.3618,0.3785,0.0728125,0.3019,0.3648,0.6034285714285714,0.5169361012564394,0.6025964285714286,0.5204513528858291,0.3056875,resnet32,0.3276,0.3158,2.5412915264340965,2.5412915264340965,0.0,resnet32,0.3618,0.3562,2.4766495408998295,2.4766495408998295,0.0,resnet32,0.2871,0.2926,2.5499396452849563,2.5499396452849563,0.0,resnet32,0.2664,0.273,2.6195727952501993,2.6195727952501993,0.0,resnet32,0.2823,0.2798,2.6639417403123598,2.6639417403123598,0.0,resnet32,0.3195,0.3064,2.562463969330896,2.562463969330896,0.0,resnet32,0.2874,0.277,2.468742897734046,2.468742897734046,0.0,resnet32,0.3134,0.3144,2.4802370530299167,2.4802370530299167,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,0,67.45,0.3389,0.016823941274267444,0.3159,0.3727,0.4085,0.0696,0.33255,0.3992,0.58245,0.525063317727608,0.5836357142857143,0.5388720220370203,0.3389,resnet32,0.33,0.3254,2.397958073087714,2.397958073087714,0.0,resnet32,0.3559,0.3522,2.3392950137230484,2.3392950137230484,0.0,resnet32,0.3304,0.3198,2.397980074313554,2.397980074313554,0.0,resnet32,0.3318,0.3304,2.462381070649082,2.462381070649082,0.0,resnet32,0.3159,0.3068,2.5038030337203634,2.5038030337203634,0.0,resnet32,0.3442,0.3382,2.4184551044282587,2.4184551044282587,0.0,resnet32,0.3303,0.3156,2.33718734911897,2.33718734911897,0.0,resnet32,0.3727,0.372,2.350904041901231,2.350904041901231,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,0,67.77,0.32655,0.024525853705834585,0.2903,0.3608,0.4031,0.07655,0.32337499999999997,0.3946,0.5825071428571428,0.508567368375027,0.59005,0.5044271812626901,0.32655,resnet32,0.3608,0.3558,2.2897154155441304,2.2897154155441304,0.0,resnet32,0.3125,0.3068,2.2466926884583454,2.2466926884583454,0.0,resnet32,0.3403,0.3324,2.291219325397502,2.291219325397502,0.0,resnet32,0.3551,0.3538,2.3478753846138716,2.3478753846138716,0.0,resnet32,0.2903,0.288,2.391550884666768,2.391550884666768,0.0,resnet32,0.305,0.3012,2.317374952984127,2.317374952984127,0.0,resnet32,0.3422,0.3534,2.2441110773520037,2.2441110773520037,0.0,resnet32,0.3062,0.2956,2.263627850535241,2.263627850535241,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,0,67.97,0.3328,0.02102593636440479,0.2916,0.3639,0.3888,0.055999999999999994,0.33065,0.386,0.5708999999999999,0.5516115495176569,0.5730178571428571,0.5516434556203916,0.3328,resnet32,0.2916,0.2906,2.205793394283815,2.205793394283815,0.0,resnet32,0.3257,0.3226,2.182961488311941,2.182961488311941,0.0,resnet32,0.3639,0.3604,2.208769915625453,2.208769915625453,0.0,resnet32,0.3595,0.3534,2.263626463880593,2.263626463880593,0.0,resnet32,0.3372,0.336,2.2930386317047207,2.2930386317047207,0.0,resnet32,0.3322,0.3336,2.2433764297853815,2.2433764297853815,0.0,resnet32,0.3267,0.3264,2.1790294628590345,2.1790294628590345,0.0,resnet32,0.3256,0.3222,2.201082994145426,2.201082994145426,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,0,73.14,0.3920625,0.016809293374499712,0.3553,0.4113,0.4646,0.07253750000000003,0.38270000000000004,0.45,0.5238428571428574,0.5494439041297375,0.5256035714285715,0.552749229763165,0.3920625,resnet32,0.3949,0.3784,2.139378960329023,2.139378960329023,0.0,resnet32,0.4113,0.3952,2.129566931081089,2.129566931081089,0.0,resnet32,0.4098,0.4058,2.1419853571463716,2.1419853571463716,0.0,resnet32,0.3553,0.347,2.1927725642242213,2.1927725642242213,0.0,resnet32,0.3885,0.3738,2.2279822452163156,2.2279822452163156,0.0,resnet32,0.3806,0.3734,2.1822963453490627,2.1822963453490627,0.0,resnet32,0.3976,0.3926,2.1238052259114655,2.1238052259114655,0.0,resnet32,0.3985,0.3954,2.141278277235952,2.141278277235952,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_seed0003_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,0,73.44,0.3478,0.018485264401679524,0.3225,0.3779,0.4197,0.07190000000000002,0.348275,0.4126,0.5735000000000001,0.5110967923881169,0.5766714285714286,0.5157695022239805,0.3478,resnet32,0.3555,0.3484,2.088414471427148,2.088414471427148,0.0,resnet32,0.3624,0.3646,2.080408418381756,2.080408418381756,0.0,resnet32,0.3366,0.3352,2.095003153790127,2.095003153790127,0.0,resnet32,0.3445,0.3468,2.1329939707436343,2.1329939707436343,0.0,resnet32,0.3225,0.3278,2.1623049446127633,2.1623049446127633,0.0,resnet32,0.3602,0.3642,2.13006126541983,2.13006126541983,0.0,resnet32,0.3228,0.3296,2.072885551405224,2.072885551405224,0.0,resnet32,0.3779,0.3696,2.089782081883062,2.089782081883062,0.0,0.0,0.0,0.0,0.0,0.0
