run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,0,0,4,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,0,0,5,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,1,0,0,4,resnet32,resnet32,0.025200,0.025200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,1,0,1,5,resnet32,resnet32,0.061400,0.061400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,1,0,2,6,resnet32,resnet32,0.013400,0.013400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,1,0,3,7,resnet32,resnet32,0.001000,0.001000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,2,0,0,2,resnet32,resnet32,0.005800,0.005800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,2,0,1,3,resnet32,resnet32,0.411200,0.411200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,2,0,4,6,resnet32,resnet32,0.022600,0.022600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,2,0,5,7,resnet32,resnet32,0.444800,0.444800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,3,0,0,4,resnet32,resnet32,0.568400,0.568400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,3,0,1,2,resnet32,resnet32,0.549000,0.549000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,3,0,3,5,resnet32,resnet32,0.568000,0.568000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,3,0,6,7,resnet32,resnet32,0.389000,0.389000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,4,0,0,6,resnet32,resnet32,0.666400,0.666400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,4,0,1,3,resnet32,resnet32,0.775600,0.775600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,4,0,2,4,resnet32,resnet32,0.579200,0.579200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,4,0,5,7,resnet32,resnet32,0.955600,0.955600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,5,0,0,5,resnet32,resnet32,0.712200,0.712200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,5,0,1,4,resnet32,resnet32,0.525800,0.525800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,5,0,2,7,resnet32,resnet32,0.799800,0.799800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,5,0,3,6,resnet32,resnet32,0.534000,0.534000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,6,0,0,2,resnet32,resnet32,0.611600,0.611600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,6,0,1,3,resnet32,resnet32,0.718400,0.718400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,6,0,4,5,resnet32,resnet32,0.672800,0.672800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,6,0,6,7,resnet32,resnet32,0.790800,0.790800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,7,0,0,7,resnet32,resnet32,0.539200,0.539200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,7,0,1,4,resnet32,resnet32,0.540400,0.540400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,7,0,2,3,resnet32,resnet32,0.563600,0.563600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,7,0,5,6,resnet32,resnet32,0.545400,0.545400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,8,0,0,2,resnet32,resnet32,0.498600,0.498600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,8,0,1,3,resnet32,resnet32,0.522000,0.522000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,8,0,4,6,resnet32,resnet32,0.472800,0.472800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,8,0,5,7,resnet32,resnet32,0.532400,0.532400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,9,0,0,4,resnet32,resnet32,0.455400,0.455400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,9,0,1,5,resnet32,resnet32,0.539800,0.539800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,9,0,2,6,resnet32,resnet32,0.490400,0.490400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,9,0,3,7,resnet32,resnet32,0.406000,0.406000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,10,0,0,2,resnet32,resnet32,0.448200,0.448200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,10,0,1,6,resnet32,resnet32,0.448000,0.448000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_noise40_seed0004_d017,d017,10,0,3,5,resnet32,resnet32,0.480800,0.480800,disagreement,exact,1
