run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,0,0.1,1,1.0,130.11,0.12166249999999999,0.024103367892267673,0.1,0.1791,0.176,0.0543375,0.12105,0.1682,0.29327857142857144,0.626110307782319,0.29052142857142854,0.6420817340991041,0.12166249999999999,resnet32,0.1005,0.1008,2.476423651995984,2.3594577932222323,0.11696586205620076,resnet32,0.1315,0.1312,2.509528819132935,2.3751894438808616,0.13433937728190026,resnet32,0.1088,0.1078,2.4897583052515984,2.3664271242239256,0.12333118434550917,resnet32,0.1,0.1004,2.5442970591512593,2.37885461341251,0.16544244602763766,resnet32,0.1128,0.1122,2.500557421960614,2.3755877509035845,0.1249696735117554,resnet32,0.1269,0.1282,2.538765537806533,2.3774206689135595,0.16134486591082267,resnet32,0.1137,0.115,2.5072701177136465,2.3873651386661963,0.1199049846216605,resnet32,0.1791,0.1728,2.4746672599153086,2.3502179238606584,0.1244493363245221,450000.0,5000.0,1810000.0,1810000.0,14480000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,1,0.1,1,1.0,124.74,0.150425,0.03590869497767915,0.1003,0.2062,0.1981,0.047674999999999995,0.154075,0.1994,0.39940714285714296,0.573183387146002,0.4073964285714286,0.560387682338377,0.150425,resnet32,0.1336,0.14,2.3043928644196554,2.301361234689301,0.003031629150097036,resnet32,0.2016,0.2012,2.284862048246644,2.2746118368072943,0.010250211398339492,resnet32,0.1127,0.1188,2.304680300707167,2.3016532388600437,0.0030270650139837844,resnet32,0.1003,0.105,2.31646838682619,2.3063025867397133,0.010165801219045534,resnet32,0.1597,0.1602,2.3130510615354236,2.2999657944522123,0.013085268841347319,resnet32,0.155,0.1578,2.286524641581557,2.273270537907427,0.013254110989774663,resnet32,0.1343,0.1414,2.3121644502336327,2.2917070778256114,0.020457369853499007,resnet32,0.2062,0.2082,2.2701693566685375,2.2493119172074576,0.02085743971772238,450000.0,5000.0,1810000.0,3620000.0,28960000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,2,0.1,1,1.0,123.67,0.219275,0.052823497375694466,0.1033,0.2857,0.231,0.011725000000000013,0.2128,0.2248,0.4668857142857142,0.5671658858817484,0.4636928571428571,0.5666723464620221,0.219275,resnet32,0.2152,0.2074,2.25401796028018,2.2350535978647796,0.018964364076964557,resnet32,0.2497,0.2446,2.2119278206743975,2.1891025023704227,0.022825319432410073,resnet32,0.1803,0.1794,2.2772623855959284,2.2577516947957603,0.019510691245986065,resnet32,0.1033,0.1006,2.3365635611116886,2.305890193039721,0.030673367889407513,resnet32,0.2468,0.2414,2.2397592731497507,2.220957067202438,0.018802205919531512,resnet32,0.2187,0.2088,2.2580021755261854,2.238273787566207,0.01972838591741906,resnet32,0.2857,0.2778,2.214622275057164,2.1918575572357937,0.022764716536833228,resnet32,0.2545,0.2424,2.246529172089967,2.2165348346937788,0.02999433665668634,450000.0,5000.0,1810000.0,5430000.0,43440000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,3,0.1,1,1.0,121.41,0.3033,0.036204557724131906,0.2518,0.3558,0.3307,0.02739999999999998,0.2994,0.3236,0.48324285714285714,0.49027848220291176,0.48000357142857136,0.4849206378507955,0.3033,resnet32,0.3007,0.2954,2.177109356630932,2.15112828835845,0.025981065645200117,resnet32,0.2664,0.2626,2.1574634443968534,2.131580670110204,0.02588277368076061,resnet32,0.3375,0.3312,2.1699833148582415,2.145804167132486,0.024179149368799037,resnet32,0.2659,0.2656,2.2639806306158956,2.2387516879561273,0.025228943819952707,resnet32,0.3358,0.3348,2.1494451952590183,2.1262399964034557,0.02320519717018628,resnet32,0.2518,0.2518,2.2253465191884474,2.199941063638438,0.02540545336722227,resnet32,0.3125,0.304,2.1462617345492947,2.123106763952158,0.02315496885487598,resnet32,0.3558,0.3498,2.1700026861984623,2.1457874295725063,0.024215253739384934,450000.0,5000.0,1810000.0,7240000.0,57920000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,4,0.1,1,1.0,123.17,0.43025,0.05122052811129538,0.3602,0.4917,0.4976,0.06734999999999997,0.42735,0.4878,0.4688357142857143,0.4518791910374795,0.4647035714285714,0.4606707019637909,0.43025,resnet32,0.4533,0.444,2.106790267777714,2.0792709958146918,0.02751927220114422,resnet32,0.4486,0.4552,2.128130953420292,2.098639540374279,0.029491409597209316,resnet32,0.4791,0.4832,2.1101923904974353,2.0811158552427185,0.029076534841971643,resnet32,0.375,0.3754,2.1705654732544315,2.1410192003981634,0.0295462718865813,resnet32,0.3602,0.3532,2.104239760305394,2.076727791266008,0.027511972400878385,resnet32,0.3639,0.3488,2.158655582842502,2.13014214401218,0.02851343774289655,resnet32,0.4917,0.4944,2.0975411131300707,2.068450302054936,0.029090812120226805,resnet32,0.4702,0.4646,2.1276068958369168,2.099124826490879,0.02848206964501349,450000.0,5000.0,1810000.0,9050000.0,72400000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,5,0.1,1,1.0,122.16,0.417325,0.03307437641135506,0.3638,0.4695,0.4566,0.039275000000000004,0.410275,0.446,0.3917857142857142,0.5608773333389124,0.3851535714285715,0.5676967495999229,0.417325,resnet32,0.4695,0.4654,2.0664985684508625,2.035931700671261,0.030566869136898524,resnet32,0.4334,0.4252,2.083649097349156,2.053224855525927,0.030424241386671467,resnet32,0.4314,0.4234,2.077444539828734,2.045691720464013,0.031752822769869286,resnet32,0.4413,0.4432,2.0979088309474965,2.0638123171573337,0.03409651161531325,resnet32,0.3781,0.3684,2.0721764786338266,2.0458298821679572,0.02634659502919848,resnet32,0.3947,0.3778,2.1061308524486693,2.074484644457698,0.03164621057062918,resnet32,0.3638,0.3634,2.071003827859055,2.0368120172484354,0.034191811240320516,resnet32,0.4264,0.4154,2.079264088787816,2.0529555549675766,0.02630853372631298,450000.0,5000.0,1810000.0,10860000.0,86880000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,6,0.1,1,1.0,122.33,0.48419999999999996,0.04758156155487122,0.3916,0.5395,0.5385,0.054300000000000015,0.4841,0.5396,0.42287857142857144,0.4619811391170318,0.41907500000000003,0.474466508443126,0.48419999999999996,resnet32,0.516,0.5236,2.031652544709769,2.0024632801386444,0.029189262724354525,resnet32,0.4459,0.444,2.053861474279653,2.023845252834938,0.03001622044724751,resnet32,0.5395,0.5262,2.050143875520338,2.020069569857283,0.030074307761176235,resnet32,0.3916,0.3896,2.0575006053867666,2.019963124936277,0.03753747948212549,resnet32,0.5141,0.5118,2.0644252105531367,2.0269270881333132,0.037498121509667144,resnet32,0.463,0.4642,2.0713791672817687,2.0414664499800312,0.029912716256645086,resnet32,0.5337,0.5354,2.0324098599905316,2.003236523744735,0.029173335425598038,resnet32,0.4698,0.478,2.0569445709274574,2.0269743488593535,0.029970220291447316,450000.0,5000.0,1810000.0,12670000.0,101360000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,7,0.1,1,1.0,121.28,0.49040000000000006,0.04151966401598163,0.4194,0.5612,0.5317,0.04129999999999989,0.49520000000000003,0.5402,0.3808857142857143,0.5507260623387256,0.3721785714285714,0.567791089673668,0.49040000000000006,resnet32,0.4849,0.494,2.0103075605901806,1.9779957305978646,0.032311831981959666,resnet32,0.496,0.5048,2.0246579577638344,1.9924193171953613,0.03223864058170214,resnet32,0.5243,0.5376,2.0280217326838863,1.994419265538454,0.03360247038124891,resnet32,0.5064,0.5144,2.0227728367529134,1.9892138545824722,0.033558982559373944,resnet32,0.4428,0.4386,2.029729526320642,2.0018183920871127,0.02791113726429599,resnet32,0.4194,0.4186,2.049369730393995,2.011818191205913,0.03755154268583283,resnet32,0.5612,0.5652,2.023851205171509,1.9861384000290523,0.03771280534882945,resnet32,0.4882,0.4884,2.0292229328981857,2.001335661350326,0.027887271307091312,450000.0,5000.0,1810000.0,14480000.0,115840000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,8,0.1,1,1.0,122.0,0.531475,0.037449691253733985,0.449,0.5714,0.592,0.06052499999999994,0.537525,0.6016,0.37496428571428575,0.5270190290671222,0.3750285714285714,0.5279133036564637,0.531475,resnet32,0.5427,0.5472,1.991212779825384,1.9619428479874677,0.02926993164212697,resnet32,0.4996,0.5064,2.007934889502146,1.9779359022663399,0.029998993683627552,resnet32,0.5313,0.5498,2.0097142082046378,1.9774388151073998,0.0322753923273095,resnet32,0.5544,0.5584,2.01243525438688,1.973520062525164,0.038915191070621157,resnet32,0.449,0.4572,2.0172023588622157,1.9850262195210566,0.03217614323048937,resnet32,0.5647,0.5692,2.0339596892961045,1.9951414630155673,0.038818224105687645,resnet32,0.5714,0.5608,2.0009862775491043,1.9717750967564909,0.02921118171864443,resnet32,0.5387,0.5512,2.0142952779477294,1.9843405182050033,0.02995475767899982,450000.0,5000.0,1810000.0,16290000.0,130320000.0
resnet32x8_cifar10_K8_mwmd1_noise40_seed0005_d017,d017,resnet32:8,cifar10,8,matched,mwmd1,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,9,0.1,1,1.0,122.56,0.49573749999999994,0.04015877667148242,0.4506,0.5716,0.5333,0.037562500000000054,0.500725,0.5322,0.3795285714285712,0.532765780996627,0.3699392857142857,0.5507621610631979,0.49573749999999994,resnet32,0.4506,0.4528,1.977016925134442,1.9443916475230998,0.03262527767219581,resnet32,0.4548,0.4618,1.9922882807864384,1.9608613003722646,0.03142698188524016,resnet32,0.4896,0.4982,1.9915665355934338,1.9601158255880529,0.03145071048691699,resnet32,0.5182,0.5234,1.9851161175492136,1.9525241845033385,0.03259193522601642,resnet32,0.5716,0.5778,2.00269958444617,1.967602157795971,0.035097422911679714,resnet32,0.4658,0.4628,2.0130019138821145,1.9780051422051408,0.03499676876923662,resnet32,0.5369,0.544,1.9882653198120268,1.954934980889613,0.03333034229316664,resnet32,0.4784,0.485,1.9947364562275736,1.9614036257632754,0.03333283055690117,450000.0,5000.0,1810000.0,18100000.0,144800000.0
