run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,0,0.1,1,109.31,0.014758333333333332,0.0031555396615405673,0.0094,0.0185,0.0221,0.00734166666666667,0.013266666666666668,0.022,0.6046242424242424,0.36779250819229303,0.6057515151515152,0.368981513209237,0.014758333333333332,resnet32,0.0127,0.0102,4.7942680567502975,4.690320550040766,0.10394750968107887,resnet32,0.0096,0.0082,4.773489932444963,4.6555884974924,0.11790143785790198,resnet32,0.0134,0.0134,4.725664115764878,4.634157856079665,0.09150625924328117,resnet32,0.0158,0.0126,4.719340474768118,4.62549964948134,0.09384082171386994,resnet32,0.0185,0.017,4.698563063686544,4.629546004940163,0.06901706747707563,resnet32,0.0182,0.0164,4.7046889845620505,4.631848523562605,0.07284045904711176,resnet32,0.0118,0.0108,4.753573154183951,4.662718562917276,0.09085458920067553,resnet32,0.0164,0.0134,4.74851902845231,4.638205906206911,0.11031312788922647,resnet32,0.0174,0.016,4.721709856255488,4.645332664928653,0.07637719236109577,resnet32,0.0182,0.017,4.72746304422617,4.632666727358645,0.0947963171551733,resnet32,0.0157,0.0158,4.732120274142786,4.640040293335915,0.09207997520256454,resnet32,0.0094,0.0084,4.72407495433634,4.652056941254572,0.0720180188176197,4500000.0,5000.0,18010000.0,18010000.0,216120000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,1,0.1,1,108.14,0.0202,0.006274950199005567,0.0107,0.0356,0.041,0.020800000000000003,0.020733333333333336,0.043,0.7332939393939394,0.22445397670572562,0.7329181818181818,0.23710339143257597,0.0202,resnet32,0.0224,0.0226,4.593347283926877,4.577401562847874,0.015945724738809407,resnet32,0.0107,0.011,4.622298833321441,4.608798077837988,0.013500758319093042,resnet32,0.018,0.0188,4.582153642042116,4.569553548639471,0.012600100518532352,resnet32,0.0356,0.0344,4.574605303054506,4.557813925499266,0.016791379674528303,resnet32,0.0219,0.0238,4.598694056272507,4.58942376551303,0.009270296959254087,resnet32,0.0176,0.0172,4.6075418605045835,4.591080459681424,0.016461403691871303,resnet32,0.0214,0.0212,4.6048623682423075,4.5952211699702525,0.009641201254866743,resnet32,0.0265,0.0272,4.590860395946286,4.573811635375023,0.017048761776426214,resnet32,0.0167,0.0208,4.6080940880558705,4.590602701360529,0.017491384187782056,resnet32,0.0199,0.0198,4.6076845980503345,4.589980551464991,0.017704053604657845,resnet32,0.02,0.0198,4.598688013174317,4.594040292907845,0.0046477207941444994,resnet32,0.0117,0.0122,4.614319582554427,4.60894994979555,0.005369631433661032,4500000.0,5000.0,18010000.0,36020000.0,432240000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,2,0.1,1,101.51,0.03621666666666667,0.005654766917291012,0.0274,0.0448,0.0472,0.010983333333333331,0.037866666666666667,0.0494,0.6870181818181819,0.41666382600613355,0.688089393939394,0.4167531920466495,0.03621666666666667,resnet32,0.0388,0.039,4.564367856491696,4.541453305293214,0.022914547912395476,resnet32,0.0295,0.0324,4.596994969655167,4.572613006288355,0.024381968448076143,resnet32,0.0328,0.0314,4.567516698078676,4.541933133520863,0.02558356218585025,resnet32,0.0448,0.048,4.535254002972082,4.513967148282311,0.021286857908390546,resnet32,0.0274,0.026,4.554374042559754,4.538079519840804,0.016294521834590178,resnet32,0.0431,0.0448,4.547077489170161,4.536536058918997,0.01054142793377237,resnet32,0.0422,0.043,4.533120797439055,4.522628058086742,0.010492754876891426,resnet32,0.0356,0.0346,4.55125373060053,4.52865890819918,0.022594816546188667,resnet32,0.0344,0.0366,4.59412988952615,4.568258855830539,0.025871040835309857,resnet32,0.0423,0.0438,4.547808334231377,4.525462922047485,0.02234540774026589,resnet32,0.0337,0.038,4.586051394993609,4.563472173430703,0.022579217046520418,resnet32,0.03,0.0368,4.598932579837062,4.581489742479541,0.017442842086893506,4500000.0,5000.0,18010000.0,54030000.0,648360000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,3,0.1,1,102.38,0.057958333333333334,0.0054290051779513175,0.0493,0.0701,0.0617,0.003741666666666664,0.055516666666666666,0.057,0.5616454545454547,0.564321323279805,0.5625939393939392,0.5940126222975327,0.057958333333333334,resnet32,0.0609,0.0586,4.464332017708909,4.450357058508829,0.01397495907506461,resnet32,0.0493,0.0486,4.516862603751096,4.48801226304336,0.028850347335471517,resnet32,0.06,0.0572,4.455475398762659,4.442563160576603,0.012912241314056288,resnet32,0.0701,0.0638,4.4732455387711525,4.44519494812597,0.028050584833677436,resnet32,0.0547,0.0562,4.46277178959413,4.447337522425435,0.015434272394817195,resnet32,0.0587,0.054,4.45671504532749,4.448665708980777,0.008049328352089187,resnet32,0.0557,0.0522,4.467288257046179,4.44949389452284,0.01779435896738009,resnet32,0.063,0.0614,4.455268110063943,4.4422934441403905,0.012974666427577507,resnet32,0.0538,0.0516,4.484664438800379,4.466777330772444,0.017887117349098182,resnet32,0.0622,0.0582,4.454974239522761,4.439620872112838,0.015353372364188544,resnet32,0.0547,0.0532,4.460171700878576,4.452137360518629,0.00803434488592426,resnet32,0.0524,0.0512,4.475528683852065,4.461474883962762,0.014053798008800104,4500000.0,5000.0,18010000.0,72040000.0,864480000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,4,0.1,1,102.14,0.07335000000000001,0.00782107196403835,0.0538,0.0834,0.0807,0.0073499999999999815,0.07798333333333334,0.0842,0.595348484848485,0.5445890257566659,0.5992939393939396,0.5444844800061479,0.07335000000000001,resnet32,0.077,0.08,4.417696090584451,4.399621402675455,0.018074683486536906,resnet32,0.0538,0.0606,4.429803812368349,4.412431292235851,0.01737251992480279,resnet32,0.0769,0.082,4.409185661510988,4.389767950908705,0.019417710862895052,resnet32,0.0693,0.0704,4.401969202540138,4.383822220970284,0.018146986106082542,resnet32,0.082,0.0848,4.396836876869202,4.378708691082218,0.018128188244934954,resnet32,0.0696,0.075,4.412463612854481,4.395088375292041,0.017375236537191086,resnet32,0.0834,0.091,4.398294022814794,4.381564765491269,0.0167292538165136,resnet32,0.0715,0.0718,4.399348017844287,4.382602798667821,0.016745221217702652,resnet32,0.0683,0.0714,4.420460671186447,4.401053593240001,0.019407087653896517,resnet32,0.0758,0.0816,4.3987323154102675,4.38297086479989,0.01576144718803169,resnet32,0.0821,0.0868,4.4016761380163105,4.38348198953,0.018194147695215757,resnet32,0.0705,0.0804,4.408276022835211,4.392541821030053,0.015734207805838774,4500000.0,5000.0,18010000.0,90050000.0,1080600000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,5,0.1,1,101.72,0.10065000000000002,0.007966126202029859,0.0898,0.1131,0.1086,0.007949999999999985,0.10294999999999999,0.1124,0.5331424242424242,0.6151698927819106,0.539160606060606,0.6036867403051016,0.10065000000000002,resnet32,0.0944,0.0968,4.366591438651085,4.342985281212763,0.023606156816557897,resnet32,0.0947,0.0972,4.372636797075922,4.3490512086586515,0.02358558504651724,resnet32,0.0931,0.098,4.3556675978682255,4.332820212299174,0.022847387417145495,resnet32,0.1129,0.1146,4.352594987912611,4.327620542523536,0.02497444612196308,resnet32,0.1128,0.1184,4.339185689321973,4.314120344140313,0.025065352126892485,resnet32,0.1015,0.102,4.349307414144278,4.3286336463960735,0.02067376938727896,resnet32,0.0971,0.0992,4.347683001648296,4.3270209882069715,0.020662018468349495,resnet32,0.1016,0.1056,4.349924276498231,4.327910619703206,0.02201366428661541,resnet32,0.0942,0.0922,4.356313736601309,4.334386799484491,0.02192694182370112,resnet32,0.1026,0.1018,4.348164247856899,4.326238067989999,0.021926178073044866,resnet32,0.1131,0.1148,4.33993247422305,4.317873624915427,0.022058854105787097,resnet32,0.0898,0.0948,4.356172950769013,4.333259581503543,0.02291338544455357,4500000.0,5000.0,18010000.0,108060000.0,1296720000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,6,0.1,1,102.19,0.12944999999999998,0.013724886156176305,0.1047,0.1496,0.1497,0.020250000000000018,0.13001666666666667,0.1486,0.6073272727272727,0.5493143638829916,0.6108924242424244,0.559518533907828,0.12944999999999998,resnet32,0.117,0.1238,4.3202784383161505,4.2949633076786995,0.025315133280607617,resnet32,0.1328,0.1348,4.318476354533976,4.294935350052335,0.023540997877717018,resnet32,0.1354,0.1356,4.313063028522513,4.287677836689082,0.02538519710651599,resnet32,0.139,0.1376,4.302712427282875,4.2765040407803925,0.0262083870025394,resnet32,0.1191,0.1178,4.285675022751093,4.256047072058374,0.02962794638270597,resnet32,0.129,0.125,4.30388071117076,4.280288038605994,0.023592677515063606,resnet32,0.1047,0.1018,4.307981426065618,4.278393388133157,0.02958803917598826,resnet32,0.132,0.1324,4.303553909063339,4.278376930477944,0.025176976270317522,resnet32,0.1496,0.1506,4.3025398474525325,4.276305466213009,0.02623437142888592,resnet32,0.1082,0.1112,4.290443012321537,4.265252477743409,0.02519053293243897,resnet32,0.1432,0.1412,4.294754668392918,4.268503929403695,0.026250745757186614,resnet32,0.1434,0.1484,4.308088872243058,4.281835471364585,0.02625339820885777,4500000.0,5000.0,18010000.0,126070000.0,1512840000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,7,0.1,1,102.79,0.1412,0.008728783802264018,0.1288,0.156,0.156,0.014800000000000008,0.14126666666666665,0.1538,0.5410303030303032,0.6285809838924956,0.5390424242424241,0.6209683168521455,0.1412,resnet32,0.146,0.1476,4.273726733570749,4.243022448975932,0.030704282036326316,resnet32,0.1312,0.1328,4.268568374893882,4.232043639841405,0.03652473885449581,resnet32,0.1296,0.1302,4.272508690641685,4.244636004959995,0.027872676064196803,resnet32,0.1477,0.1464,4.258264954455874,4.222625237296928,0.035639712507624856,resnet32,0.1436,0.145,4.237634431232106,4.201160605658185,0.036473818284734574,resnet32,0.156,0.146,4.261388140984557,4.2310693243687805,0.030318805283803322,resnet32,0.1407,0.144,4.262904928827828,4.232965514741161,0.02993941265793348,resnet32,0.1339,0.1348,4.256860092620958,4.228952170772986,0.02790792280839841,resnet32,0.1373,0.139,4.254454053261063,4.224109177562323,0.030344875886591828,resnet32,0.1529,0.1528,4.240681863982569,4.2049624120647255,0.03571944535889832,resnet32,0.1467,0.1498,4.253457295623693,4.222686358473518,0.030770938875238327,resnet32,0.1288,0.1268,4.26355193047361,4.233597938987342,0.02995398752020926,4500000.0,5000.0,18010000.0,144080000.0,1728960000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,8,0.1,1,102.02,0.15226666666666666,0.013846981219344846,0.1342,0.183,0.1652,0.012933333333333352,0.14909999999999998,0.1624,0.5142333333333333,0.6164172221581622,0.5188030303030302,0.6157119690948539,0.15226666666666666,resnet32,0.142,0.1464,4.240066339685158,4.195622503757477,0.04444384150767953,resnet32,0.1647,0.163,4.21801677278497,4.177319250323555,0.04069751945578239,resnet32,0.1392,0.1314,4.236673349683935,4.1987081207334995,0.03796522109240124,resnet32,0.1395,0.1364,4.220492489635944,4.179845023222945,0.04064746438366869,resnet32,0.1714,0.16,4.191617338156158,4.148902215402234,0.042715117435860026,resnet32,0.148,0.1462,4.216938922012394,4.182091131129048,0.03484779584951783,resnet32,0.1483,0.1448,4.224420296197588,4.189978808503259,0.03444148984007453,resnet32,0.1556,0.15,4.2192106439986015,4.184367676011541,0.03484297313314693,resnet32,0.1538,0.15,4.216319820081646,4.1783227893439205,0.03799703806395304,resnet32,0.183,0.1816,4.199805730784481,4.155295630747622,0.04451009291700426,resnet32,0.1475,0.1444,4.217310924421657,4.182790354232896,0.03452057045334103,resnet32,0.1342,0.135,4.224918563257564,4.182291936467994,0.042626621722857555,4500000.0,5000.0,18010000.0,162090000.0,1945080000.0
resnet32x12_cifar100_K12_mwmd1_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,9,0.1,1,107.03,0.1907333333333333,0.011415437890077724,0.1632,0.2074,0.2108,0.020066666666666677,0.19563333333333333,0.2164,0.5107454545454546,0.6507899092179048,0.5150424242424242,0.6344499704218582,0.1907333333333333,resnet32,0.1632,0.162,4.195184550502083,4.154742875559763,0.04044167842684229,resnet32,0.1923,0.1924,4.173406674103304,4.130286386067217,0.0431202860887755,resnet32,0.1819,0.1936,4.1941315155815,4.1419601853598245,0.05217131719374182,resnet32,0.1952,0.1948,4.174938741394064,4.134031132879582,0.040907613202844834,resnet32,0.2069,0.2098,4.148889171467586,4.0966178927231915,0.05227128154365346,resnet32,0.1854,0.1984,4.177233470095829,4.136514324017546,0.04071914945168167,resnet32,0.1918,0.1942,4.185165527869355,4.142151329666376,0.043014197845795105,resnet32,0.1852,0.187,4.178719009865414,4.138161926784298,0.040557078003819864,resnet32,0.1984,0.2044,4.169924678111618,4.129181718623096,0.04074295413870872,resnet32,0.2074,0.2086,4.151909319853241,4.108955622396686,0.0429536997187163,resnet32,0.1857,0.2014,4.176974068988454,4.1360758099366315,0.04089825309347361,resnet32,0.1954,0.201,4.165668369355527,4.1227263147858055,0.04294205113017762,4500000.0,5000.0,18010000.0,180100000.0,2161200000.0
