run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,0,0.1,2,109.49,0.024650000000000002,0.008684229000511983,0.0108,0.0454,0.0501,0.025449999999999997,0.024550000000000002,0.0524,0.8090181818181814,0.21083663151088466,0.8091378787878789,0.21133325667880168,0.024650000000000002,resnet32,0.0298,0.0298,4.670276335017248,4.593160604211417,0.0771157179984915,resnet32,0.0454,0.0474,4.667355740612203,4.547565880146894,0.11978986975604626,resnet32,0.0224,0.021,4.709403000094674,4.5938051986423405,0.11559779176869514,resnet32,0.0273,0.027,4.689755274490877,4.59312005341053,0.09663521671741777,resnet32,0.0292,0.0326,4.678626435046846,4.570329527285966,0.10829690803207499,resnet32,0.0228,0.021,4.717480684545907,4.612141773104668,0.1053389095838859,resnet32,0.0212,0.0186,4.7065869468179615,4.616154241968285,0.09043270522240411,resnet32,0.0306,0.0318,4.709543581036004,4.596604344519702,0.11293924279644588,resnet32,0.012,0.011,4.743045793338255,4.645393084396016,0.09765270135606195,resnet32,0.0223,0.02,4.713017925620079,4.615364404564554,0.09765351664778295,resnet32,0.022,0.024,4.699446606365117,4.595705611461943,0.10374100242585303,resnet32,0.0108,0.0104,4.746627681634643,4.654029378836805,0.09259830097239914,9000000.0,0.0,36000000.0,36000000.0,432000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,1,0.1,2,107.03,0.05884166666666666,0.020054528097719536,0.018,0.0957,0.0866,0.027758333333333336,0.05545,0.0816,0.7331848484848482,0.30144923776736393,0.7331045454545456,0.3097637957383703,0.05884166666666666,resnet32,0.0955,0.0914,4.260117427869276,4.102036616341635,0.15808081289287657,resnet32,0.0957,0.0884,4.1113234307955615,3.9876999140463094,0.12362352018879558,resnet32,0.0528,0.0516,4.410626470365307,4.297683892263607,0.11294258171586659,resnet32,0.0561,0.048,4.318111221898686,4.253481249240312,0.06462996850710954,resnet32,0.0524,0.0506,4.307243255729025,4.214296765625477,0.09294648971726102,resnet32,0.0596,0.058,4.38066928698258,4.301154677502134,0.07951460978735915,resnet32,0.0501,0.0486,4.45479523695328,4.390177419578487,0.06461780063612176,resnet32,0.0707,0.0692,4.291600134901025,4.2085577706721695,0.08304236379758963,resnet32,0.052,0.0512,4.455660444768992,4.375292872502045,0.08036757215053182,resnet32,0.0509,0.0438,4.357215193862265,4.2827861197292805,0.07442906639665704,resnet32,0.0523,0.0502,4.405088498172435,4.3058927225118335,0.09919577513144097,resnet32,0.018,0.0144,4.76008016480641,4.57554843750867,0.18453172577904875,9000000.0,0.0,36000000.0,72000000.0,864000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,2,0.1,2,107.46,0.10957499999999999,0.017240075647552512,0.0855,0.1518,0.131,0.021425000000000013,0.1105,0.1312,0.655869696969697,0.4611993923458603,0.6593651515151516,0.44863489797261225,0.10957499999999999,resnet32,0.1152,0.1216,3.766643201424317,3.610720931129022,0.15592227352317423,resnet32,0.1518,0.1478,3.6664532521231608,3.5439727126874705,0.12248054250482131,resnet32,0.1129,0.1126,3.9019252959300172,3.779463063586842,0.12246222940104251,resnet32,0.1053,0.1096,3.877789778804237,3.7860855839469214,0.09170419684166765,resnet32,0.1085,0.1018,3.9561974413015624,3.8604456314986404,0.09575180567017841,resnet32,0.1133,0.1138,3.8670177473263307,3.7827211012217132,0.08429664955474436,resnet32,0.1189,0.1192,3.8930304162204266,3.817096331241456,0.07593408143888651,resnet32,0.1243,0.1284,3.8216020823879675,3.733128343793479,0.08847373659955338,resnet32,0.0855,0.0898,3.941185347735882,3.857152970677072,0.08403237482046032,resnet32,0.0945,0.0926,3.9128822846846147,3.827033066275445,0.08584922029827298,resnet32,0.0937,0.0964,3.959298177876256,3.8494895449416204,0.10980862637304446,resnet32,0.091,0.0924,4.191274238581007,4.018777704035694,0.1724965367254547,9000000.0,0.0,36000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,3,0.1,2,107.47,0.18077500000000002,0.02198287685904645,0.1381,0.2274,0.2093,0.028524999999999995,0.17373333333333332,0.2044,0.6068848484848485,0.557661855432929,0.6024848484848485,0.566892875331996,0.18077500000000002,resnet32,0.2097,0.204,3.379550672728907,3.2294119135899977,0.1501387612978843,resnet32,0.2274,0.2222,3.3005985617637634,3.1599494408477438,0.14064912219658832,resnet32,0.1381,0.1338,3.465010383928364,3.318805069747296,0.14620531528172168,resnet32,0.1517,0.1484,3.526774101297964,3.397498467090455,0.12927563128654251,resnet32,0.1826,0.1688,3.562631981955333,3.4334139241413637,0.1292180558772419,resnet32,0.1844,0.1744,3.5298704894428905,3.414801473305984,0.11506901377685029,resnet32,0.1814,0.1734,3.525930806994438,3.4216582043604418,0.10427260296207598,resnet32,0.1864,0.1774,3.491943259130825,3.377188242971897,0.11475501423278316,resnet32,0.175,0.1714,3.557679415426471,3.4439256590875713,0.11375375244427811,resnet32,0.1761,0.1684,3.5519790121100168,3.4331567771732807,0.11882223734970797,resnet32,0.1766,0.1672,3.594120309095491,3.4627457802945916,0.13137452726633372,resnet32,0.1799,0.1754,3.6311544315381483,3.4746590456502005,0.15649538295639848,9000000.0,0.0,36000000.0,144000000.0,1728000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,4,0.1,2,107.05,0.20344166666666663,0.029488400497295352,0.1509,0.2504,0.2405,0.03705833333333336,0.2033,0.2458,0.5894,0.5252866961210293,0.5923106060606061,0.5265280372722432,0.20344166666666663,resnet32,0.2504,0.252,3.0703071901066736,2.9071005542169917,0.16320663631301036,resnet32,0.2313,0.227,3.012828200716864,2.8516021760349926,0.16122602264989505,resnet32,0.1891,0.1878,3.143811022693461,2.972715558653528,0.17109546677040105,resnet32,0.1683,0.1752,3.227478135038506,3.065389067611911,0.162089065881446,resnet32,0.1675,0.1726,3.2249465418810193,3.0667219629341904,0.15822457817425442,resnet32,0.2304,0.2314,3.2252473627979104,3.076550822027705,0.1486965409607034,resnet32,0.2235,0.2206,3.22337656468153,3.0828861455348404,0.14049042128449815,resnet32,0.2131,0.2176,3.1970808506011963,3.0503994182429532,0.1466814362316985,resnet32,0.2266,0.23,3.2055352560498496,3.0567063340409235,0.14882892274975099,resnet32,0.1509,0.1464,3.237645025280389,3.08238140696829,0.15526362157172777,resnet32,0.1895,0.1826,3.3172506517307325,3.147269519892606,0.1699811285573312,resnet32,0.2007,0.1964,3.246256285770373,3.067938782613386,0.17831750578162345,9000000.0,0.0,36000000.0,180000000.0,2160000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,5,0.1,2,106.51,0.2533666666666667,0.020523617831388518,0.2158,0.2899,0.289,0.035633333333333295,0.24145000000000003,0.2762,0.540760606060606,0.5709804500336908,0.5366272727272727,0.5802197457476738,0.2533666666666667,resnet32,0.2899,0.2816,2.8758099390701815,2.6978563144803047,0.17795362450521102,resnet32,0.2158,0.2032,2.825491015206684,2.647125203839757,0.17836581062610177,resnet32,0.2685,0.2568,2.9376652237366545,2.749108738181266,0.18855648597871716,resnet32,0.2351,0.218,3.0089311779222707,2.82589055089788,0.18304062861187215,resnet32,0.2367,0.2292,2.985002181746743,2.8031536167995497,0.18184856920164416,resnet32,0.2359,0.2348,3.0159144899384542,2.8401919908144255,0.1757224962030622,resnet32,0.2456,0.2278,2.9945062835785476,2.8249043839221653,0.16960190069353717,resnet32,0.2568,0.2496,2.974662845107642,2.8021000610156492,0.1725627849386497,resnet32,0.2707,0.257,2.972798554057425,2.7980908047069204,0.1747077488425103,resnet32,0.2527,0.237,3.010659272020513,2.834071921692653,0.17658735492097383,resnet32,0.2513,0.2368,3.0741370093416083,2.888562609187581,0.18557439962486652,resnet32,0.2814,0.2656,2.9995903857052326,2.8075461153956978,0.19204426986504008,9000000.0,0.0,36000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,6,0.1,2,106.93,0.30190000000000006,0.027320291604105054,0.2389,0.3397,0.3539,0.051999999999999935,0.29778333333333334,0.3438,0.5443575757575757,0.574880337712079,0.5440348484848486,0.5712873456902976,0.30190000000000006,resnet32,0.3397,0.3352,2.733392481776801,2.5435037677260963,0.18988871208222752,resnet32,0.3374,0.3268,2.693322853269902,2.5021663145585493,0.19115653905001553,resnet32,0.3113,0.3068,2.78842772137035,2.5844685184684666,0.20395919733511453,resnet32,0.2389,0.2342,2.8582913628356024,2.656780257821083,0.20151110643266953,resnet32,0.2973,0.2962,2.815943658690561,2.616604660045017,0.19933900082568554,resnet32,0.2977,0.2968,2.857671328566291,2.6611515435982835,0.19651978359219024,resnet32,0.3203,0.3176,2.8277816308492962,2.636410968208855,0.19137066321193494,resnet32,0.2967,0.285,2.8033681017431347,2.6093272383917463,0.1940408622084016,resnet32,0.3211,0.3196,2.80994960564104,2.6138215352865783,0.19612806976180186,resnet32,0.2987,0.2978,2.844355494461276,2.648140199482441,0.19621529112654654,resnet32,0.2642,0.2628,2.902255701070482,2.700047781182961,0.2022079196546904,resnet32,0.2995,0.2946,2.8277233381840317,2.623823701996695,0.20389963773248548,9000000.0,0.0,36000000.0,252000000.0,3024000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,7,0.1,2,108.26,0.2546333333333333,0.02558802888505135,0.2042,0.2944,0.2848,0.030166666666666675,0.2514833333333333,0.2784,0.5237515151515152,0.5833850900195755,0.515219696969697,0.5939005034240672,0.2546333333333333,resnet32,0.2179,0.2132,2.622174481437965,2.417499355294488,0.20467512180436065,resnet32,0.2828,0.272,2.582699811763384,2.379359924488447,0.20333989150822163,resnet32,0.2264,0.2342,2.6657506554302843,2.4520215298980474,0.21372912468558009,resnet32,0.2623,0.2548,2.734274598007852,2.5204234797168863,0.21385112036527557,resnet32,0.2564,0.2488,2.6838204406879167,2.4688781340691177,0.21494231036525557,resnet32,0.2552,0.2508,2.743916899643161,2.5331782886589114,0.21073860897343943,resnet32,0.2593,0.2572,2.71187518469312,2.506387248296629,0.20548793516883795,resnet32,0.2535,0.249,2.674450734460896,2.4658505257896404,0.2086002110207284,resnet32,0.2635,0.2678,2.675115205347538,2.4623418748378754,0.2127733324146406,resnet32,0.2797,0.2748,2.7231181514534084,2.51084017127075,0.21227798297662626,resnet32,0.2042,0.2034,2.7677731930532237,2.5536053761501205,0.21416781432079998,resnet32,0.2944,0.2918,2.6996501379392366,2.4834085032343864,0.21624163335019891,9000000.0,0.0,36000000.0,288000000.0,3456000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,8,0.1,2,107.1,0.3160583333333334,0.03332577726858828,0.227,0.356,0.3653,0.04924166666666663,0.3087666666666667,0.3542,0.5081272727272729,0.6064777924515712,0.5158166666666666,0.6004967986435201,0.3160583333333334,resnet32,0.3313,0.3194,2.550670899789442,2.3345227161930366,0.2161481809929352,resnet32,0.3231,0.3184,2.517557004974647,2.30299322205511,0.21456378662366082,resnet32,0.2945,0.2898,2.5894804078746927,2.36566160636192,0.2238188045819036,resnet32,0.227,0.22,2.655784463001923,2.430669508705085,0.22511496098542755,resnet32,0.356,0.3498,2.6088864528997378,2.383456650613384,0.2254298032600094,resnet32,0.3415,0.3318,2.6649133668027143,2.4444689086892386,0.22044445445168426,resnet32,0.3042,0.3042,2.6325557275929232,2.414806052703749,0.2177496739578518,resnet32,0.3432,0.3308,2.5948641415346754,2.3753005611625584,0.2195635814304379,resnet32,0.2932,0.2798,2.5825469480319456,2.3587943732061167,0.22375257332301277,resnet32,0.3079,0.3018,2.6353595954450695,2.410636616532098,0.22472298407757824,resnet32,0.3256,0.3208,2.677210997112773,2.450648369436914,0.22656262850134887,resnet32,0.3452,0.3386,2.6156458014791664,2.387969237667593,0.22767656298608266,9000000.0,0.0,36000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-ring_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5640048,9,0.1,2,107.2,0.31345833333333334,0.023850382887678948,0.2581,0.3431,0.3769,0.06344166666666667,0.30695,0.3612,0.5655212121212122,0.5401422698947193,0.5645909090909087,0.5447975531260094,0.31345833333333334,resnet32,0.3431,0.3466,2.4936384221708234,2.264732273464853,0.22890614828264172,resnet32,0.3367,0.327,2.4564093734053047,2.229708430441943,0.2267009395767342,resnet32,0.2976,0.292,2.51821827177297,2.2839157323945654,0.23430253980173307,resnet32,0.2581,0.2588,2.5853955285115675,2.3496765465560285,0.23571898800913582,resnet32,0.3358,0.3358,2.5388551498339935,2.3026768043637276,0.2361783446024426,resnet32,0.3035,0.2962,2.5853171187706967,2.3551031610166486,0.23021396334198388,resnet32,0.3148,0.3004,2.5646088524636896,2.3370112390680746,0.22759761445393617,resnet32,0.3076,0.296,2.518867578357458,2.2883590634234925,0.23050851641561498,resnet32,0.3338,0.33,2.4977681416679514,2.262085871262984,0.2356822674416683,resnet32,0.3339,0.3202,2.559602390466766,2.322533901950175,0.2370684857226231,resnet32,0.2892,0.2886,2.602749104696241,2.3649050891399384,0.23784401280466805,resnet32,0.3074,0.2918,2.5355096977542746,2.2959112763743508,0.23959841998293996,9000000.0,0.0,36000000.0,360000000.0,4320000000.0
