run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,3,130.76,0.0408625,0.00916377890119573,0.0306,0.0618,0.0479,0.007037499999999995,0.044950000000000004,0.0502,0.6561214285714285,0.5425555319595367,0.6567785714285713,0.5210319474127171,0.0408625,resnet32,0.0387,0.041,4.639763061973182,4.529533733698455,0.11022933568429752,resnet32,0.0618,0.0638,4.459115946157412,4.349996193566105,0.1091197485591031,resnet32,0.0348,0.0378,4.636313991790468,4.519426007162441,0.11688799123988826,resnet32,0.0369,0.0434,4.571242482824759,4.473571960898963,0.09767052919580071,resnet32,0.0395,0.0458,4.527831792154095,4.4346125356175685,0.09321925962219459,resnet32,0.048,0.0532,4.545174149965698,4.469879375940019,0.07529476719421589,resnet32,0.0366,0.039,4.696383227678862,4.584349002350461,0.11203421660122165,resnet32,0.0306,0.0356,4.665919259190559,4.56794304468415,0.09797621550718429,13500000.0,5000.0,54010000.0,54010000.0,432080000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,3,121.49,0.1248,0.012649110640673521,0.1085,0.1453,0.1366,0.011800000000000005,0.115675,0.1218,0.4977999999999999,0.6082531465040012,0.49824642857142865,0.6063085346862704,0.1248,resnet32,0.1242,0.118,3.9425680424002083,3.8701462081887503,0.07242183752929453,resnet32,0.1433,0.1342,3.88349298523231,3.7922502393749626,0.09124274496835741,resnet32,0.1119,0.102,4.0344461527737705,3.947539085352963,0.08690706657415087,resnet32,0.1278,0.1174,3.97529118203304,3.9003984914584593,0.0748926905057901,resnet32,0.1196,0.1044,3.9418425163762136,3.862730082801797,0.0791124404376288,resnet32,0.1453,0.1392,3.908123365180059,3.8217093639753084,0.08641400276577439,resnet32,0.1085,0.1022,4.051019249314612,3.9616408602080564,0.08937838889489119,resnet32,0.1178,0.108,4.038924638520587,3.9564598626033827,0.08246477526104586,13500000.0,5000.0,54010000.0,108020000.0,864160000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,3,121.45,0.17049999999999998,0.024849295764669065,0.1252,0.2052,0.1947,0.024200000000000027,0.16425,0.186,0.5661857142857142,0.5412805462327551,0.5686607142857142,0.5556461964593697,0.17049999999999998,resnet32,0.2052,0.1996,3.495065970515663,3.3840997313911263,0.11096623983361166,resnet32,0.1884,0.1798,3.4529550089077516,3.3378897901963103,0.11506521326108751,resnet32,0.1609,0.1506,3.5748889304020186,3.45624047822573,0.11864845239853655,resnet32,0.1252,0.1236,3.5237319523637947,3.4133548231964763,0.1103771277915009,resnet32,0.1744,0.1694,3.5050992393358187,3.391856626014818,0.11324261596680364,resnet32,0.1949,0.1844,3.437953485006636,3.31953878802332,0.11841469636948948,resnet32,0.1702,0.1648,3.5849875326861036,3.4642055485058916,0.1207819813015786,resnet32,0.1448,0.1418,3.5677294571968643,3.450135988606648,0.11759346680165353,13500000.0,5000.0,54010000.0,162030000.0,1296240000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,3,121.47,0.2058625,0.01403753339265841,0.1837,0.2269,0.2296,0.023737499999999995,0.202825,0.2204,0.5151285714285715,0.6252552983318997,0.5100464285714285,0.6387394866003079,0.2058625,resnet32,0.2269,0.227,3.182568484747952,3.0454966764558447,0.13707180865193633,resnet32,0.2222,0.2226,3.1338488937101583,2.9889639666811987,0.14488492806611414,resnet32,0.1986,0.2016,3.2732395973395216,3.1118050315840677,0.161434561945498,resnet32,0.1837,0.1802,3.194661409001459,3.050504807382822,0.1441566008989784,resnet32,0.1951,0.1932,3.180254793979905,3.0358397743918677,0.14441502024419606,resnet32,0.215,0.207,3.10232286663218,2.9454844915731386,0.156838375905698,resnet32,0.1955,0.1894,3.2522209181704302,3.103588472374461,0.1486324428855865,resnet32,0.2099,0.2016,3.249536054378206,3.1049583825198086,0.14457766832360489,13500000.0,5000.0,54010000.0,216040000.0,1728320000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,3,121.76,0.262075,0.018079183471606235,0.2258,0.2872,0.2977,0.03562500000000002,0.26034999999999997,0.2948,0.5198214285714284,0.604531932162022,0.5202785714285714,0.595962618053227,0.262075,resnet32,0.2439,0.2444,2.967475801706314,2.7989611226049336,0.1685146726667881,resnet32,0.2674,0.2616,2.9274438453668896,2.7533193921500985,0.17412445808506824,resnet32,0.258,0.2656,3.033783371814273,2.850440874357115,0.1833424982403151,resnet32,0.2756,0.277,2.9694170992482793,2.7961589226668533,0.17325817727991802,resnet32,0.268,0.2648,2.9441914433105425,2.774024288085374,0.17016715454784306,resnet32,0.2707,0.271,2.890118991109458,2.70450861108574,0.18561038463799792,resnet32,0.2258,0.2246,3.0134705393151804,2.8401678167283535,0.17330272887325424,resnet32,0.2872,0.2738,3.0265935344452206,2.8502601639113645,0.17633336911570618,13500000.0,5000.0,54010000.0,270050000.0,2160400000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,3,121.71,0.2932125,0.01374831239643615,0.2722,0.3122,0.3272,0.033987500000000004,0.28890000000000005,0.322,0.50275,0.6229563616495752,0.5054,0.6318552736744482,0.2932125,resnet32,0.2972,0.295,2.816024461930448,2.6253243388438765,0.1907001195517792,resnet32,0.3122,0.3054,2.7733807018534704,2.5831989845768972,0.19018171829256145,resnet32,0.2984,0.2978,2.879765597934073,2.6802120726894247,0.19955352990126068,resnet32,0.3066,0.2984,2.8082098381763156,2.6157023822042076,0.19250745855441148,resnet32,0.2722,0.2706,2.78061682832512,2.589736158197576,0.19088066936555234,resnet32,0.2774,0.2756,2.7345346716994587,2.539597024294463,0.19493764628317545,resnet32,0.3015,0.2876,2.85358959233219,2.6587637632407923,0.19482583144087007,resnet32,0.2802,0.2808,2.8645330904559656,2.6700570712035354,0.19447602054358207,13500000.0,5000.0,54010000.0,324060000.0,2592480000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,3,121.43,0.3023625,0.017825118337615603,0.2742,0.3252,0.3426,0.04023750000000004,0.304775,0.3418,0.5185500000000002,0.5935547669427692,0.5283607142857143,0.5850154705053097,0.3023625,resnet32,0.3022,0.3046,2.7182973210107195,2.513628041202372,0.20466928512111984,resnet32,0.3155,0.314,2.6602446240457622,2.456413046202876,0.20383157699622892,resnet32,0.3171,0.3214,2.7797843160277065,2.5627115595747125,0.2170727551830086,resnet32,0.2943,0.2952,2.680784872309728,2.4741207613525065,0.2066641124177047,resnet32,0.3135,0.3182,2.6627759364518253,2.4566585299643604,0.2061174053233117,resnet32,0.2742,0.2792,2.644607900895856,2.427048456939784,0.21755944243208927,resnet32,0.2769,0.2812,2.744184409691529,2.5360159264369444,0.20816848786886444,resnet32,0.3252,0.3244,2.7535874129019002,2.544745635579933,0.20884177374484186,13500000.0,5000.0,54010000.0,378070000.0,3024560000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,3,121.5,0.325775,0.017994565151734015,0.2815,0.3449,0.3617,0.03592500000000004,0.325225,0.3534,0.46234285714285706,0.6457375474567455,0.4672892857142857,0.6502974034928618,0.325775,resnet32,0.3449,0.3372,2.658922467380762,2.438570747659965,0.220351719614965,resnet32,0.3372,0.3358,2.573004957965829,2.3535133217546074,0.219491637121378,resnet32,0.3265,0.322,2.7124134918505494,2.4762472476471555,0.2361662415152585,resnet32,0.3358,0.3436,2.602723753587766,2.3829686617986723,0.21975509570488197,resnet32,0.3241,0.3234,2.595087578181516,2.363740939985622,0.23134663616391746,resnet32,0.2815,0.2814,2.5728409488431434,2.3397522910752078,0.23308865393681283,resnet32,0.325,0.3314,2.657547617161816,2.4401849616657603,0.21736265064894475,resnet32,0.3312,0.327,2.6781978109343485,2.4492598968473347,0.22893791186453943,13500000.0,5000.0,54010000.0,432080000.0,3456640000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,3,121.46,0.37265000000000004,0.012334200419970487,0.3553,0.3895,0.4196,0.046949999999999936,0.364875,0.404,0.4760928571428572,0.6086982206414839,0.47383214285714287,0.618668101395101,0.37265000000000004,resnet32,0.3794,0.372,2.599950436164032,2.361125736920671,0.2388247017198327,resnet32,0.378,0.38,2.4963614349676804,2.2729368443516167,0.22342458526095885,resnet32,0.3569,0.3582,2.6534284356642854,2.4027396752075716,0.25068876174786553,resnet32,0.3724,0.3698,2.546337043866515,2.308602038770914,0.23773501100103286,resnet32,0.3626,0.3626,2.532716105607423,2.2899474952031267,0.2427686053878543,resnet32,0.3871,0.3682,2.491995778950778,2.2525790347294374,0.23941674405200916,resnet32,0.3553,0.3382,2.5897088399664923,2.3603243294425984,0.22938450940207325,resnet32,0.3895,0.37,2.6062601770867,2.375055329874158,0.23120484401641245,13500000.0,5000.0,54010000.0,486090000.0,3888720000.0
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0003_d001,d001,resnet32:8,cifar100,8,matched,mwmd1-anneal321,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,"0:3,60:2,120:1",disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,3,121.5,0.3441125,0.02473011511800946,0.2989,0.38,0.3921,0.047987500000000016,0.3376,0.3814,0.4986428571428572,0.588020097080486,0.5019214285714285,0.5985851787967738,0.3441125,resnet32,0.3517,0.3492,2.5471232262524692,2.2996218040246856,0.2475014221007851,resnet32,0.3765,0.3662,2.4557187767191366,2.2070518149570986,0.2486669666938145,resnet32,0.3363,0.3316,2.5810505764728244,2.33108941313218,0.24996116683310407,resnet32,0.3473,0.3368,2.486189555207437,2.2444294911216605,0.24176006372594697,resnet32,0.38,0.376,2.4610159165141257,2.217084690759128,0.2439312315334312,resnet32,0.2989,0.299,2.4348926710134204,2.1897754283113913,0.2451172401620583,resnet32,0.3264,0.3112,2.5392591049048034,2.2919823754240167,0.2472767271313139,resnet32,0.3358,0.3308,2.5666514821350574,2.315241910686547,0.25140957498330285,13500000.0,5000.0,54010000.0,540100000.0,4320800000.0
