run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,1,0,2,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,1,1,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,1,4,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,0,1,5,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,0,0,4,resnet32,resnet32,0.847400,0.847400,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,0,1,7,resnet32,resnet32,0.945000,0.945000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,0,2,6,resnet32,resnet32,0.906000,0.906000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,0,3,5,resnet32,resnet32,0.885200,0.885200,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,1,0,6,resnet32,resnet32,0.880000,0.880000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,1,1,4,resnet32,resnet32,0.956800,0.956800,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,1,2,3,resnet32,resnet32,0.801600,0.801600,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,1,1,5,7,resnet32,resnet32,0.917200,0.917200,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,0,0,1,resnet32,resnet32,0.745400,0.745400,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,0,2,7,resnet32,resnet32,0.625000,0.625000,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,0,3,4,resnet32,resnet32,0.907800,0.907800,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,0,5,6,resnet32,resnet32,0.735400,0.735400,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,1,0,7,resnet32,resnet32,0.589800,0.589800,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,1,1,2,resnet32,resnet32,0.759800,0.759800,disagreement,exact,2
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,2,1,3,6,resnet32,resnet32,0.679600,0.679600,disagreement,exact,2
