run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,0,3,zombie,resnet32,0.878304,0.878304,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,1,5,resnet32,resnet32,0.944130,0.944130,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,2,11,resnet32,resnet32,0.885097,0.885097,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,4,9,resnet32,resnet32,0.903228,0.903228,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,6,7,resnet32,resnet32,0.819812,0.819812,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,0,8,10,resnet32,resnet32,0.734429,0.734429,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,0,1,zombie,resnet32,0.775334,0.775334,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,2,3,resnet32,resnet32,0.759095,0.759095,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,4,10,resnet32,resnet32,0.732003,0.732003,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,5,7,resnet32,resnet32,0.585111,0.585111,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,6,9,resnet32,resnet32,0.565155,0.565155,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,0,1,8,11,resnet32,resnet32,0.893279,0.893279,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,0,2,zombie,resnet32,0.450533,0.450533,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,1,7,resnet32,resnet32,0.954637,0.954637,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,3,9,resnet32,resnet32,0.765261,0.765261,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,4,6,resnet32,resnet32,0.817916,0.817916,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,5,8,resnet32,resnet32,0.881818,0.881818,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,0,10,11,resnet32,resnet32,0.966837,0.966837,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,0,11,zombie,resnet32,0.646740,0.646740,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,1,2,resnet32,resnet32,0.570399,0.570399,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,3,10,resnet32,resnet32,0.684869,0.684869,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,4,8,resnet32,resnet32,0.777974,0.777974,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,5,7,resnet32,resnet32,0.823826,0.823826,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,1,1,6,9,resnet32,resnet32,0.772898,0.772898,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,0,1,zombie,resnet32,0.771811,0.771811,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,2,9,resnet32,resnet32,0.785817,0.785817,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,3,5,resnet32,resnet32,0.767797,0.767797,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,4,6,resnet32,resnet32,0.724246,0.724246,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,7,11,resnet32,resnet32,0.733728,0.733728,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,0,8,10,resnet32,resnet32,0.908907,0.908907,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,0,11,zombie,resnet32,0.828455,0.828455,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,1,2,resnet32,resnet32,0.728663,0.728663,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,3,9,resnet32,resnet32,0.649186,0.649186,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,4,7,resnet32,resnet32,0.741841,0.741841,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,5,8,resnet32,resnet32,0.487222,0.487222,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,2,1,6,10,resnet32,resnet32,0.718501,0.718501,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,3,0,0,8,zombie,resnet32,0.687941,0.687941,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,3,0,1,4,resnet32,resnet32,0.890879,0.890879,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,3,0,2,6,resnet32,resnet32,0.816849,0.816849,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,3,0,3,10,resnet32,resnet32,0.807432,0.807432,random,exact,2
resnet32x12_cifar100_K12_rand2-zomb0_seed0005_d015,d015,3,0,5,7,resnet32,resnet32,0.982854,0.982854,random,exact,2
