run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,0,0.1,1,16.02,0.07300000000000001,0.0332,0.0398,0.1062,0.0886,0.015599999999999989,0.06659999999999999,0.0798,0.807,0.21571642588184164,0.8067,0.26686929546987564,0.07300000000000001,mobilenet,0.0398,0.0348,4.1109328520568935,4.023257575929165,0.0876752823771147,mobilenet,0.1062,0.0984,4.11364526741884,4.026581863449379,0.08706341041992842,4500000.0,0.0,18000000.0,18000000.0,36000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,1,0.1,1,14.19,0.1376,0.008700000000000013,0.1289,0.1463,0.1469,0.009300000000000003,0.137,0.1494,0.528,0.5560757448830637,0.5257,0.5669680050208389,0.1376,mobilenet,0.1463,0.1476,3.7277218245647172,3.6144410974600096,0.11328072976109317,mobilenet,0.1289,0.1264,3.701775087551637,3.5886322656138376,0.1131428206466477,4500000.0,0.0,18000000.0,36000000.0,72000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,2,0.1,1,14.47,0.16595,0.004650000000000001,0.1613,0.1706,0.1799,0.013950000000000018,0.16160000000000002,0.1738,0.695,0.4766485991028532,0.6895,0.4769083093196835,0.16595,mobilenet,0.1613,0.1552,3.4630754739046097,3.3274027637460013,0.13567271357698535,mobilenet,0.1706,0.168,3.457173006101088,3.3216089081357825,0.13556409953162074,4500000.0,0.0,18000000.0,54000000.0,108000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,3,0.1,1,14.41,0.2314,0.007000000000000006,0.2244,0.2384,0.2514,0.020000000000000018,0.2264,0.2438,0.5796,0.5661480972054023,0.59,0.5580563590173339,0.2314,mobilenet,0.2384,0.229,3.262706844644113,3.0890174179591914,0.17368942485402591,mobilenet,0.2244,0.2238,3.261494003236294,3.087918808514422,0.17357519301797517,4500000.0,0.0,18000000.0,72000000.0,144000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,4,0.1,1,14.38,0.23785,0.008349999999999996,0.2295,0.2462,0.2539,0.01605000000000001,0.2375,0.2534,0.5488,0.5921326470407162,0.5435,0.6016794599290713,0.23785,mobilenet,0.2462,0.2418,3.0970609713007105,2.8935361592607065,0.20352481231516736,mobilenet,0.2295,0.2332,3.0928053469820456,2.888854969631542,0.20395037307488648,4500000.0,0.0,18000000.0,90000000.0,180000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,5,0.1,1,14.28,0.2177,0.0040000000000000036,0.2137,0.2217,0.2372,0.01949999999999999,0.2218,0.2422,0.6188,0.5253708648257687,0.6229,0.49345087579430796,0.2177,mobilenet,0.2217,0.228,2.982078670439395,2.7561532492664726,0.2259254181037911,mobilenet,0.2137,0.2156,2.9663880982182245,2.7402374754575165,0.22615062348036605,4500000.0,0.0,18000000.0,108000000.0,216000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,6,0.1,1,14.25,0.24330000000000002,0.01200000000000001,0.2313,0.2553,0.264,0.020699999999999996,0.2403,0.2594,0.6234,0.48337899078603425,0.6099,0.49086332686443973,0.24330000000000002,mobilenet,0.2313,0.2302,2.8997485427693888,2.653280386193232,0.24646816330707885,mobilenet,0.2553,0.2504,2.9012202454561535,2.6549736125902696,0.24624663176523012,4500000.0,0.0,18000000.0,126000000.0,252000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,7,0.1,1,14.28,0.2948,0.0015999999999999903,0.2932,0.2964,0.3199,0.02510000000000001,0.30210000000000004,0.3244,0.5456,0.550838927088474,0.5533,0.5598916574524299,0.2948,mobilenet,0.2964,0.3028,2.840339511971582,2.583010793748227,0.25732871968383814,mobilenet,0.2932,0.3014,2.8310282941568983,2.573720745742321,0.25730754985389387,4500000.0,0.0,18000000.0,144000000.0,288000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,8,0.1,1,14.4,0.28715,0.018850000000000006,0.2683,0.306,0.3096,0.02244999999999997,0.2808,0.3046,0.6112,0.539404410908394,0.6161,0.5387362047439944,0.28715,mobilenet,0.306,0.2988,2.789121363312006,2.522866212508895,0.2662551507819444,mobilenet,0.2683,0.2628,2.7829505269500343,2.5166328098963606,0.2663177159106867,4500000.0,0.0,18000000.0,162000000.0,324000000.0
mobilenetx2_cifar100_K2_dml_seed0004_d001,d001,mobilenet:2,cifar100,2,dml,dml,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,9,0.1,1,14.24,0.27499999999999997,0.046299999999999994,0.2287,0.3213,0.3197,0.04470000000000002,0.28300000000000003,0.3254,0.7068,0.43780556936006665,0.7021,0.4390948865100156,0.27499999999999997,mobilenet,0.2287,0.2354,2.756460767239332,2.476613779806278,0.27984698938036506,mobilenet,0.3213,0.3306,2.748727038502693,2.4687143169682133,0.28001272240230307,4500000.0,0.0,18000000.0,180000000.0,360000000.0
